sectores_economicos;economic_sectors;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_nov;2001_dic;2001_year
agropecuario;agriculture and livestock;7.4;6.2;-0.4;-0.9;-3.5;-4.5;-2.5;-1.4;-2.3;6.2;1.5;3.6;0.3;0.7;-0.6
agricola;agriculture;9.5;6.7;-2.3;-1.9;-7.9;-6.3;-4.3;-2.6;-6.5;10.6;1.9;5.5;-0.5;-2.9;-2.4
pecuario;livestock;5.2;6;1.6;0.3;2.8;-1;1.7;1.2;4.1;1.7;1.1;1.8;1;4.4;1.7
pesca;fishing;-29.7;9.1;20.4;21;-30.1;45.9;6;-29.6;-31;-6.2;-8.9;4;-54.1;-38;-13.3
mineria e hidrocarburos;mining and fuel;1;2.4;-4.5;-6.8;0.8;0.5;4.4;5.8;17.4;23.8;22.1;17.5;23.5;27.9;11.2
mineria;metals;1.4;3.4;-4.8;-6.7;1.4;0.7;4.6;7.9;20.1;26.9;24.6;19.4;26.7;30.8;12.6
hidrocarburos;fuel;-3.6;-6.5;-2.8;-8;-4;-1.2;2.8;-10.5;-2.8;-0.5;1.4;1.3;-4;3.6;-2
manufactura;manufacturing;-6.8;6.7;0.2;-3.7;-5.7;3.3;1.7;-3.1;-2.1;-2.1;2;3;-3.7;-2.1;-1.1
procesadores recursos primarios;based on raw materials;-19.5;8.5;-0.3;1.7;-16.4;19.6;3.9;-13.3;-8.2;5.1;5.9;8;-18.4;-10.9;-2.9
industria no primaria;non primary industries;-1.8;6.1;0.3;-5;-2.2;-1.2;1;0.2;-0.2;-3.8;1.1;1.8;0.8;0.6;-0.6
construccion;construction;-19.6;-4.3;-14.8;-18.3;-14.2;1.3;-6.5;-12.4;-8.2;-9.1;-7.7;0.5;8.1;12.8;-6
comercio;commerce;-0.3;5.1;-0.1;1.8;-2.4;-1.8;-1.5;-4;-1.4;0.8;3.4;3.2;1.4;1.6;0
otros servicios;other services;-2.4;1.8;-0.8;-1.8;-1.4;0.1;-0.1;-1.1;0.3;0.4;2;1.1;2.3;4.3;0.4
pbi;gdp;-3.2;3.1;-1.4;-2.6;-3.2;0.1;-0.4;-2.2;-0.3;1.3;2.7;2.8;2.1;4.1;0.2
pbi sectores primarios;primary sectors;-3.2;5.6;-1.3;-1.9;-6.5;2.2;0.4;-2.9;0.8;11.7;9.2;9.3;0.9;5.5;1.9
pbi sectores no primarios;non primary sectors;-3.2;2.6;-1.5;-2.8;-2.5;-0.4;-0.6;-2.1;-0.6;-0.8;1.4;1.5;2.4;3.9;-0.2
pbi desestacionalizado;seasonally adjusted gdp;-0.2;;-0.5;0.9;0.5;1.2;-0.2;-1;0;1.3;0.3;-0.1;0.2;1.4;
demanda interna;domestic demand;-5.6;2.4;-1.2;-0.8;-3.2;0;-1;-2.9;-1.9;-0.5;1.2;1;-1;1.9;0.7
demanda interna desestacionalizada;seasonally adjusted domestic demand;-0.5;;-0.7;3.5;-2.2;1.8;0;-1.8;-1.3;1.1;0.3;-0.7;0.3;1.2;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
