sectores_economicos;economic_sectors;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_nov;2001_dic;2001_year;2002_ene;2002_feb;2002_mar;2002_ene_mar
agropecuario;agriculture and livestock;-3.5;-4.5;-2.5;-1.4;-2.3;6.2;1.5;3.6;0.3;0.7;-0.6;7;6.7;8.4;7.4
agricola;agriculture;-7.9;-6.3;-4.3;-2.6;-6.5;10.6;1.9;5.5;-0.5;-2.9;-2.4;9.1;6.7;10.1;8.7
pecuario;livestock;2.8;-1;1.7;1.2;4.1;1.7;1.1;1.8;1;4.4;1.7;4.8;6.7;6.2;5.9
pesca;fishing;-30.1;45.9;6;-29.6;-31;-6.2;-8.9;4;-54.1;-38;-13.3;-16.4;-27;-23.9;-22.1
mineria e hidrocarburos;mining and fuel;0.8;0.5;4.4;5.8;17.4;23.8;22.1;17.5;23.5;27.9;11.2;27.4;19.7;23.8;23.7
mineria;metals;1.4;0.7;4.6;7.9;20.1;26.9;24.6;19.4;26.7;30.8;12.8;30;21.3;26.1;25.9
hidrocarburos;fuel;-4;-1.2;2.8;-10.5;-2.8;-0.5;1.4;1.3;-4;3.6;-2;5.3;5.8;4.5;5.2
manufactura;manufacturing;-5.7;3.3;1.7;-3.1;-2.1;-2.1;2;3;-3.7;-2.1;-1.1;2;0.3;-4.3;-0.7
procesadores recursos primarios;based on raw materials;-16.4;19.6;3.9;-13.3;-8.2;5.1;5.9;8;-18.4;-10.9;-2.9;2.1;-4.1;-8.3;-3.6
industria no primaria;non primary industries;-2.2;-1.2;1;0.2;-0.2;-3.8;1.1;1.8;0.8;0.6;-0.6;1.9;1.5;-3.2;0
construccion;construction;-14.2;1.3;-6.5;-12.4;-8.2;-9.1;-7.7;0.5;8.1;12.8;-6;15.6;13;2.6;10.3
comercio;commerce;-2.4;-1.8;-1.5;-4;-1.4;0.8;3.4;3.2;1.4;1.6;0;0.8;-0.2;-0.9;-0.1
otros servicios;other services;-1.4;0.1;-0.1;-1.1;0.3;0.4;2;1.1;2.3;4.3;0.4;1.5;2.5;0.9;1.6
pbi;gdp;-3.2;0.1;-0.4;-2.2;-0.3;1.3;2.7;2.8;2.1;4.1;0.2;3.9;3.4;1.6;3
pbi sectores primarios;primary sectors;-6.5;2.2;0.4;-2.9;0.8;11.7;9.2;9.3;0.9;5.5;1.9;12;7.8;8.5;9.4
pbi sectores no primarios;non primary sectors;-2.4;-0.4;-0.6;-2.1;-0.6;-0.8;1.4;1.5;2.4;3.9;-0.2;2.3;2.5;0;1.6
pbi desestacionalizado;seasonally adjusted gdp;0.4;1.2;-0.1;-1;0;1.3;0.3;0;0;1.2;;-0.4;0.4;1.2;
demanda interna;domestic demand;-3.2;0;-1;-2.9;-1.9;-0.5;1.2;1;-1;1.9;-0.7;3.9;0.8;-1.4;1.1
demanda interna desestacionalizada;seasonally adjusted domestic demand;-1.9;-0.2;0.9;-1.2;-0.4;0.8;0.2;-0.8;1.1;0.7;;0.9;0.2;1;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
