sectores_economicos;economic_sectors;2000_nov;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_nov;2001_ene_nov
agropecuario;agriculture and livestock;6;7.4;6.2;0.2;-0.5;-3.9;-5;-2.8;-0.8;-2.7;5.8;1;2.1;0;-0.9
agricola;agriculture;6.1;9.5;6.7;-2.3;-2.5;-8.9;-8.2;-5.2;-2.4;-6.8;10.2;0.1;2.8;-0.6;-3.1
pecuario;livestock;6.4;5.2;6;3;1.8;3.2;1.1;3;2.6;3.8;1.3;1.8;1.5;0.6;2.2
pesca;fishing;15.1;-29.7;9.1;20.4;21;-30.1;45.9;6;-29.6;-31;-6.2;-8.9;4;-54.1;-10.9
mineria e hidrocarburos;mining and fuel;0.9;1;2.4;-4.5;-6.8;0.8;0.5;4.4;5.8;17.4;23.8;22.1;17.5;23.5;9.6
mineria;metals;1.7;1.4;3.4;-4.7;-6.7;1.4;0.6;4.6;7.9;20.1;26.8;24.6;19.4;26.3;11.1
hidrocarburos;fuel;-6.6;-3.6;-6.5;-2.8;-8;-4;-1.2;2.8;-10.5;-2.8;-0.5;1.4;1.3;-4;-2.5
manufactura;manufacturing;0.9;-6.8;6.7;0.4;-3.9;-6.3;2.4;0.9;-4;-3.1;-3.6;0.9;1.9;-4.2;-1.7
procesadores recursos primarios;based on raw materials;9.7;-19.5;8.5;-0.1;2;-16.3;20;4.1;-13.1;-8.4;4.7;6;7.8;-18.4;-2.1
industria no primaria;non primary industries;-1.9;-1.8;6.1;0.6;-5.3;-3;-2.4;-0.1;-1;-1.5;-5.5;-0.4;0.5;0.2;-1.6
construccion;construction;-15.7;-19.6;-4.3;-14.8;-18.3;-14.2;1.3;-6.4;-12.4;-8.2;-9.1;-7.6;0.6;8.1;-7.6
comercio;commerce;1.9;-1.6;5.1;-0.1;1.6;-3.4;-2.1;-2.1;-3.9;-2;-0.3;2.4;1.6;0.9;-0.8
otros servicios;other services;-3.8;-2.6;1.8;-0.7;-1.8;-1.7;-0.1;-0.4;-1.2;-0.1;-0.1;1.6;0.9;1.9;-0.2
pbi;gdp;-1.9;-3.5;3.1;-1.3;-2.6;-3.6;-0.3;-0.8;-2.4;-0.8;0.6;2.2;2.2;1.7;-0.5
pbi sectores primarios;primary sectors;5.6;-3.2;5.6;-1;-1.6;-6.7;1.9;0.3;-2.6;0.6;11.4;9;8.6;0.8;1.5
pbi sectores no primarios;non primary sectors;-3.4;-3.6;2.6;-1.4;-2.9;-2.9;-0.8;-1;-2.3;-1.1;-1.5;0.8;0.9;2;-1
pbi desestacionalizado;seasonally adjusted gdp;-0.1;0;;-0.6;0.9;0.3;0.8;0.2;-0.9;-0.2;1.1;0.4;-0.2;0;
demanda interna;domestic demand;-1.7;-5.9;2.4;-1.4;-1.1;-3.9;-0.8;-1.7;-3.4;-2.5;-1.3;0.4;0.2;-1.9;-1.6
demanda interna desestacionalizada;seasonally adjusted domestic demand;0.5;-0.5;;0.7;2.8;-1.2;0.2;0.3;-3.1;-1.6;1.5;1.2;-0.4;0.5;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
