sectores_economicos;economic_sectors;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_nov;2001_dic;2001_year;2002_ene;2002_feb;2002_ene_feb
agropecuario;agriculture and livestock;-0.9;-3.5;-4.5;-2.5;-1.4;-2.3;6.2;1.5;3.6;0.3;0.7;-0.6;6.7;7.3;7
agricola;agriculture;-1.9;-7.9;-6.3;-4.3;-2.6;-6.5;10.6;1.9;5.5;-0.5;-2.9;-2.4;8.5;7.5;8
pecuario;livestock;0.3;2.8;-1;1.7;1.2;4.1;1.7;1.1;1.8;1;4.4;1.7;4.9;7;5.9
pesca;fishing;21;-30.1;45.9;6;-29.6;-31;-6.2;-8.9;4;-54.1;-38;-13.3;-6;-22.3;-13.3
mineria e hidrocarburos;mining and fuel;-6.8;0.8;0.5;4.4;5.8;17.4;23.8;22.1;17.5;23.5;27.9;11.2;26.8;19.7;23.4
mineria;metals;-6.7;1.4;0.7;4.6;7.9;20.1;26.9;24.6;19.4;26.7;30.8;12.8;29.4;21.3;25.5
hidrocarburos;fuel;-8;-4;-1.2;2.8;-10.5;-2.8;-0.5;1.4;1.3;-4;3.6;-2;5.3;5.8;5.5
manufactura;manufacturing;-3.7;-5.7;3.3;1.7;-3.1;-2.1;-2.1;2;3;-3.7;-2.1;-1.1;1.5;0.3;0.9
procesadores recursos primarios;based on raw materials;1.7;-16.4;19.6;3.9;-13.3;-8.2;5.1;5.9;8;-18.4;-10.9;-2.9;3;-4.3;-0.5
industria no primaria;non primary industries;-5;-2.2;-1.2;1;0.2;-0.2;-3.8;1.1;1.8;0.8;0.6;-0.6;1.1;1.5;1.3
construccion;construction;-18.3;-14.2;1.3;-6.5;-12.4;-8.2;-9.1;-7.7;0.5;8.1;12.8;-6;15.6;13;14.3
comercio;commerce;1.8;-2.4;-1.8;-1.5;-4;-1.4;0.8;3.4;3.2;1.4;1.6;0;1.9;0.3;1.1
otros servicios;other services;-1.8;-1.4;0.1;-0.1;-1.1;0.3;0.4;2;1.1;2.3;4.3;0.4;1.3;2.1;1.7
pbi;gdp;-2.6;-3.2;0.1;-0.4;-2.2;-0.3;1.3;2.7;2.8;2.1;4.1;0.2;3.9;3.3;3.6
pbi sectores primarios;primary sectors;-1.9;-6.5;2.2;0.4;-2.9;0.8;11.7;9.2;9.3;0.9;5.5;1.9;12.2;8.2;10.2
pbi sectores no primarios;non primary sectors;-2.8;-2.4;-0.4;-0.6;-2.1;-0.6;-0.8;1.4;1.5;2.4;3.9;-0.2;2.2;2.3;2.3
pbi desestacionalizado;seasonally adjusted gdp;0.9;0.4;1.2;-0.1;-1;0;1.3;0.3;0;0;1.2;;-0.4;0.3;
demanda interna;domestic demand;-0.9;-3.7;0.7;-0.4;-2.3;-2.1;-0.6;1.2;0.7;-1.4;1.6;-0.7;3.3;0.8;2
demanda interna desestacionalizada;seasonally adjusted domestic demand;3.6;-2.2;1.8;0;-1.8;-1.3;1.1;0.3;-0.7;0.3;1.2;;1.1;1.1;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
