sectores_economicos;economic_sectors;2001_jun;2001_jul;2001_ago;2001_sep;2001_oct;2001_nov;2001_dic;2001_year;2002_ene;2002_feb;2002_mar;2002_abr;2002_may;2002_jun;2002_ene_jun
agropecuario;agriculture and livestock;-1.4;-2.3;6.2;1.5;3.6;0.3;0.7;-0.6;6.7;7;8.5;10.6;8.9;-2.1;6.4
agricola;agriculture;-2.6;-6.5;10.6;1.9;5.5;-0.5;-2.9;-2.4;8.5;7.5;10.3;12.9;11.1;-5.7;6.9
pecuario;livestock;1.2;4.1;1.7;1.1;1.8;1;4.4;1.7;4.9;6.5;6.2;6.2;3.7;5.5;5.5
pesca;fishing;-29.6;-31;-6.2;-8.9;4;-54.1;-38;-13.3;-16.4;-27;-23.9;-16.4;2.5;26;-8.9
mineria e hidrocarburos;mining and fuel;5.8;17.4;23.8;22.1;17.5;23.5;27.9;11.2;27.4;19.7;23.8;19.4;14;21.6;20.9
mineria;metals;7.9;20.1;26.9;24.6;19.4;26.7;30.8;12.8;30;21.3;26.1;21.8;16.3;23;23.1
hidrocarburos;fuel;-10.5;-2.8;-0.5;1.4;1.3;-4;3.6;-2;5.3;5.8;4.5;-1.1;-4.5;7.9;2.8
manufactura;manufacturing;-3.1;-2.1;-2.1;2;3;-3.7;-2.1;-1.1;1.7;0.2;-4.1;8.7;1.5;3.1;1.9
procesadores recursos primarios;based on raw materials;-13.3;-8.2;5.1;5.9;8;-18.4;-10.9;-2.9;2.2;-4.2;-8.3;-7.1;-3.5;4.5;-2.9
industria no primaria;non primary industries;0.2;-0.2;-3.8;1.1;1.8;0.8;0.6;-0.6;1.6;1.3;-2.9;13.8;3.2;2.8;3.2
construccion;construction;-12.4;-8.2;-9.1;-7.7;0.5;8.1;12.8;-6;15.6;13;2.6;8.5;3.8;10.3;8.9
comercio;commerce;-4;-1.4;0.8;3.4;3.2;1.4;1.6;0;0.8;-0.2;-0.7;7.1;4.9;0.2;2.1
otros servicios;other services;-1.1;0.3;0.4;2;1.1;2.3;4.3;0.4;1.4;2.5;0.9;6.1;3.4;3.4;3
pbi;gdp;-2.2;-0.3;1.3;2.7;2.8;2.1;4.1;0.2;3.8;3.4;1.7;7.7;4.5;3.6;4.2
pbi sectores primarios;primary sectors;-2.9;0.8;11.7;9.2;9.3;0.9;5.5;1.9;11.9;7.9;8.5;8.5;7.7;5.7;8.2
pbi sectores no primarios;non primary sectors;-2.1;-0.6;-0.8;1.4;1.5;2.4;3.9;-0.2;2.2;2.5;0.2;7.5;3.7;3;3.2
pbi desestacionalizado;seasonally adjusted gdp;-1;0;1.3;0.3;0;0;1.2;;-0.5;0.5;1.3;1.9;0;-2.1;
demanda interna;domestic demand;-3.2;-2;-0.6;1.7;1.2;-1.1;1.6;-0.7;4.1;1;-1.5;8.6;2.7;0.7;2.6
demanda interna desestacionalizada;seasonally adjusted domestic demand;-1.8;-0.1;0.8;0.7;-1;0.7;0.5;;1.3;0.3;0.7;3.3;-1.4;-3.3;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
