sectores_economicos;economic_sectors;2008_feb;2008_mar;2008_abr;2008_may;2008_jun;2008_jul;2008_ago;2008_set;2008_oct;2008_nov;2008_dic;2008_year;2009_ene;2009_feb;2009_ene_feb
agropecuario;agriculture and livestock;2.9;2.8;6.9;3.7;12.6;10;9.4;6.3;8.1;6.9;3.7;6.7;-1.5;4;1.3
agricola;agriculture;3.9;2.7;7;2.8;14.2;10.1;11.8;5.4;7.9;3.3;-0.1;6.6;-6.3;1.9;-2.2
pecuario;livestock;1.7;3;6.6;6.1;9.1;9.9;6.7;7.3;8.3;11.3;8.2;6.9;4.5;6.6;5.6
pesca;fishing;1.2;2.8;33.2;-19.6;8.5;0.1;22.3;27.6;21.1;-8.6;5.2;6.2;-21.1;-17.6;-19.4
mineria e hidrocarburos;mining and fuel;14.6;2.2;7.6;9.8;12.7;5.7;11.4;5.5;4.6;12.4;3.4;7.6;10.7;-2;4.2
mineria;metals;15;2.3;7.3;11;13.7;5.4;11.5;4.8;2.8;10.9;1.4;7.3;7.9;-3.8;1.9
hidrocarburos;fuel;10.6;1.3;10.3;0.2;4.8;7.9;10.1;11.9;21.3;25.3;21.9;10.3;36.5;15;25.7
manufactura;manufacturing;14.6;7.6;18.8;6.1;9.1;9;8.5;12.4;4.7;1.4;3.8;8.5;-2.7;-7.4;-0.5
procesadores recursos primarios;based on raw materials;16.8;17.9;19;-7.1;7.2;3.2;-4.1;11;14.7;4.1;10.2;7.6;4.9;1.6;3.3
industria no primaria;non primary industries;14.1;5.8;18.8;9.2;9.6;10;10.6;12.6;3.2;0.9;2.5;8.7;-4.1;-9.1;-6.6
electricidad y agua;electricity and water;13;7.4;9.4;7;8.8;7.3;8.9;10.2;7.8;3.2;2.9;7.7;3.5;-1.7;0.9
construcción;construction;23;13.7;34.4;14.8;16.5;18.2;10.3;19.7;11.8;10.2;10.3;16.5;4.5;4.7;4.6
comercio;commerce;13.1;8.3;14.1;11.1;21.7;11.4;14.7;18.7;14;7.8;4.2;12.8;2.5;-0.7;0.9
otros servicios;other services;12.9;7.3;13;8.8;11.5;10.2;9.7;9.7;9.6;6.7;5.2;9.5;5.2;2.4;3.8
pbi;gdp;13;7.2;14.2;8.4;13;10.2;10.4;11.6;9.2;6.4;4.9;9.8;3.1;0.2;1.7
sectores primarios;primary sectors;9.2;5;9.7;2.6;11.5;7.1;8.2;7.2;8.1;7.7;4.8;7.2;3.3;0.7;2
sectores no primarios;non primary sectors;13.7;7.6;15.2;9.8;13.3;10.9;10.8;12.4;9.4;6.1;4.9;10.4;3.1;0.1;1.6
pbi desestacionalizado;seasonally adjusted gdp;1.3;0.1;0.6;0.7;1.1;-0.7;2;0.1;0.7;-0.2;-0.4;;0.1;-2.7;
demanda interna;domestic demand;14.1;10.1;16.1;9.4;18.8;14.1;9.4;17.2;12.6;7;8.3;12.3;2.3;-1.8;0.3
demanda interna desestacionalizada;seasonally adjusted domestic demand;2;0.8;-0.2;2.2;2.6;-1.4;1;0.9;1;-1.4;-1.5;;-0.1;-4.9;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
