industry,vintage,tp_2016q1,tp_2016q2,tp_2016q3,tp_2016q4,tp_2016,tp_2017q1,tp_2017q2,tp_2017q3,tp_2017q4,tp_2017,tp_2018q1
agriculture,2018m6,2.6,1.7,2.5,4.3,2.7,-0.2,0.7,6.9,4.5,2.8,5.7
fishing,2018m6,1.8,-59.6,68.3,27.6,-10.1,37.9,128.8,-42.8,-51.5,4.7,6.1
mining,2018m6,15.7,23.6,16.0,10.8,16.3,4.1,1.9,4.3,2.5,3.2,0.6
manufacturing,2018m6,-2.6,-8.0,2.2,2.9,-1.4,2.3,4.5,-1.7,-5.3,-0.2,1.0
electricity,2018m6,10.3,7.2,6.7,5.3,7.3,1.1,1.6,1.7,0.2,1.1,1.4
construction,2018m6,2.1,0.9,-3.6,-9.2,-3.1,-5.2,-2.8,6.0,9.2,2.3,5.1
commerce,2018m6,2.8,2.3,1.4,0.9,1.8,0.1,0.9,1.4,1.7,1.0,2.7
services,2018m6,4.5,4.3,4.1,3.1,4.0,3.1,2.9,3.4,3.8,3.3,4.2
gdp,2018m6,4.6,3.9,4.7,3.1,4.0,2.3,2.6,2.7,2.2,2.5,3.2
