target_period,agriculture_2018_7,fishing_2018_7,mining_2018_7,manufacturing_2018_7,electricity_2018_7,construction_2018_7,commerce_2018_7,services_2018_7,gdp_2018_7
2016q1,2.6,1.8,15.7,-2.6,10.3,2.1,2.8,4.5,4.6
2016q2,1.7,-59.6,23.6,-8.0,7.2,0.9,2.3,4.3,3.9
2016q3,2.5,68.3,16.0,2.2,6.7,-3.6,1.4,4.1,4.7
2016q4,4.3,27.6,10.8,2.9,5.3,-9.2,0.9,3.1,3.1
2016,2.7,-10.1,16.3,-1.4,7.3,-3.1,1.8,4.0,4.0
2017q1,-0.2,37.9,4.1,2.3,1.1,-5.2,0.1,3.1,2.3
2017q2,0.7,128.8,1.9,4.5,1.6,-2.8,0.9,2.9,2.6
2017q3,6.9,-42.8,4.3,-1.7,1.7,6.0,1.4,3.4,2.7
2017q4,4.5,-51.5,2.5,-5.3,0.2,9.2,1.7,3.8,2.2
2017,2.8,4.7,3.2,-0.2,1.1,2.3,1.0,3.3,2.5
2018q1,5.7,6.1,0.6,1.0,1.4,5.1,2.7,4.2,3.2
