industry,vintage,tp_2012m7,tp_2012m8,tp_2012m9,tp_2012m10,tp_2012m11,tp_2012m12,tp_2013m1,tp_2013m2,tp_2013m3,tp_2013m4,tp_2013m5,tp_2013m6,tp_2013m7
agriculture,2013m9,3.3,5.1,5.0,4.8,2.9,10.1,7.3,5.8,5.4,2.5,-1.6,-0.6,-1.6
fishing,2013m9,0.8,-12.0,18.9,15.4,-15.8,-47.2,14.2,13.6,-16.5,-4.7,-15.2,2.2,3.0
mining,2013m9,4.6,0.7,5.2,-3.2,-1.3,-1.6,-4.9,-1.8,-2.3,4.8,3.7,6.0,3.5
manufacturing,2013m9,5.1,4.5,1.6,4.7,4.1,-2.0,3.9,0.0,-4.6,5.3,1.2,2.8,1.4
electricity,2013m9,5.7,5.3,4.1,3.7,5.6,4.5,6.3,3.9,4.1,6.4,5.6,6.0,7.1
construction,2013m9,21.4,17.4,15.1,16.1,16.8,5.3,18.4,14.3,3.8,26.5,10.7,7.0,11.4
commerce,2013m9,6.9,6.5,5.3,5.9,6.3,7.0,5.5,5.6,4.0,7.5,6.6,5.0,4.3
services,2013m9,7.9,6.8,6.4,7.9,7.5,5.9,6.8,5.4,3.8,7.3,6.1,5.1,5.4
gdp,2013m9,7.6,6.6,6.0,6.9,6.6,4.4,6.4,4.9,2.4,7.6,4.8,4.4,4.5
