industry,vintage,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999,tp_2000q1,tp_2000q2,tp_2000q3,tp_2000q4,tp_2000,tp_2001q1,tp_2001q2
agriculture,2001m9,9.9,16.2,15.8,3.1,11.7,4.6,7.4,6.8,5.5,6.2,-1.2,-2.7
fishing,2001m9,36.4,48.8,-13.6,41.4,29.2,27.5,16.1,21.9,-13.9,9.1,-6.6,2.3
mining,2001m9,15.3,17.4,10.0,9.5,12.9,4.1,1.8,2.0,1.7,2.4,-3.5,3.6
manufacturing,2001m9,-5.4,-1.7,-4.6,9.5,-0.5,13.1,9.5,7.0,-1.6,6.7,-3.1,-0.1
construction,2001m9,-13.0,-12.5,-16.6,0.5,-10.5,5.6,-2.1,-2.9,-15.8,-4.3,-15.7,-6.0
commerce,2001m9,-6.0,-2.6,-1.8,3.1,-1.9,7.7,7.3,4.6,0.7,5.1,0.7,-2.3
services,2001m9,0.9,-0.1,-2.0,3.3,0.5,2.8,4.6,2.0,-1.9,1.8,-1.2,-0.5
gdp,2001m9,-0.4,1.2,-1.5,4.6,0.9,5.4,5.6,3.3,-1.7,3.1,-2.2,-1.0
