industry,vintage,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999,tp_2000q1,tp_2000q2,tp_2000q3,tp_2000q4,tp_2000,tp_2001q1
agriculture,2001m7,12.1,15.6,14.9,2.7,11.7,4.6,7.4,6.8,5.5,6.2,-1.1
fishing,2001m7,36.1,48.9,-13.7,41.6,29.2,27.5,16.1,21.9,-13.9,9.1,-6.6
mining,2001m7,15.6,17.0,9.7,9.9,12.9,4.2,1.8,2.0,1.7,2.4,-3.6
manufacturing,2001m7,-5.5,-1.2,-4.8,9.4,-0.5,13.1,9.5,7.1,-1.6,6.7,-3.4
construction,2001m7,-12.8,-11.8,-16.5,-0.7,-10.5,5.6,-2.1,-2.9,-15.8,-4.3,-15.8
commerce,2001m7,-5.9,-2.8,-1.6,3.3,-1.9,7.7,7.2,4.6,0.7,5.1,0.2
services,2001m7,0.6,-0.1,-1.8,3.5,0.5,2.8,4.5,2.0,-1.8,1.8,-1.4
gdp,2001m7,-0.4,1.2,-1.5,4.6,0.9,5.4,5.6,3.3,-1.7,3.1,-2.4
