industry,vintage,tp_1999q1,tp_1999q2,tp_1999q3,tp_1999q4,tp_1999,tp_2000q1,tp_2000q2,tp_2000q3,tp_2000q4,tp_2000,tp_2001q1
agriculture,2001m6,12.0,16.3,15.7,1.9,12.0,4.5,7.3,7.5,5.9,6.4,-1.0
fishing,2001m6,35.3,48.4,-14.0,41.8,28.9,36.9,12.0,13.2,-12.5,8.1,-12.6
mining,2001m6,14.6,15.9,8.7,8.7,11.8,4.0,1.8,2.0,1.8,2.4,-3.5
manufacturing,2001m6,-4.6,-1.1,-3.8,10.8,0.3,12.9,9.1,6.4,-1.2,6.5,-3.4
construction,2001m6,-13.1,-12.0,-16.7,-1.0,-10.8,5.2,-2.4,-3.3,-15.8,-4.5,-16.4
commerce,2001m6,-5.1,-2.8,-0.9,2.7,-1.6,8.4,6.5,4.4,1.7,5.3,-1.7
services,2001m6,-0.3,1.7,0.4,2.8,1.2,4.3,4.1,2.7,0.2,2.8,-1.2
gdp,2001m6,-0.7,2.1,-0.1,4.2,1.4,6.3,5.1,3.5,-0.4,3.6,-2.6
