industry,vintage,tp_1994m5,tp_1994m6,tp_1994m7,tp_1994m8,tp_1994m9,tp_1994m10,tp_1994m11,tp_1994m12,tp_1995m1,tp_1995m2,tp_1995m3,tp_1995m4,tp_1995m5,tp_1995m6,tp_1995m7,tp_1995m8,tp_1995m9,tp_1995m10
agriculture,1995m12,26.2,34.4,6.6,4.4,2.5,6.9,7.9,8.8,11.1,11.4,8.7,10.9,14.8,-1.4,7.3,7.3,8.4,2.1
fishing,1995m12,43.1,32.2,24.0,27.9,23.3,80.0,49.1,-6.3,46.1,28.7,-56.6,-15.6,-11.1,-15.6,-42.1,-14.3,-6.3,-20.7
mining,1995m12,14.4,7.4,2.2,0.4,-1.7,1.2,1.6,-1.0,3.7,8.3,5.2,7.0,-2.1,1.3,-3.2,2.4,5.5,1.1
manufacturing,1995m12,18.9,13.4,17.3,15.7,18.1,26.7,22.9,14.1,13.5,13.9,-3.0,1.1,7.9,2.5,-0.3,4.0,0.5,0.8
construction,1995m12,37.2,30.4,28.1,27.3,44.3,51.7,44.3,36.2,32.3,36.8,27.1,26.3,42.1,24.5,20.3,15.7,3.1,7.2
commerce,1995m12,19.9,12.1,15.4,17.0,16.3,20.7,19.0,17.3,18.9,17.0,14.8,10.4,15.8,18.6,15.0,13.2,4.8,6.2
gdp,1995m12,17.8,14.9,10.2,9.8,12.0,17.2,15.9,10.9,13.1,13.2,6.0,7.2,11.4,6.3,5.6,7.3,3.9,3.1
