industry,vintage,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5,tp_1994m6,tp_1994m7,tp_1994m8,tp_1994m9,tp_1994m10,tp_1994m11,tp_1994m12,tp_1995m1,tp_1995m2,tp_1995m3
agriculture,1995m5,11.9,5.4,12.8,16.6,26.2,34.4,6.7,4.4,2.6,6.9,7.5,8.6,11.7,14.5,11.0
fishing,1995m5,3.8,84.5,46.0,41.7,43.1,32.2,24.0,27.9,23.3,80.0,49.1,-6.3,37.5,19.6,-57.6
mining,1995m5,8.3,3.5,8.2,9.1,14.0,7.2,2.2,0.3,-1.8,1.0,1.4,-1.4,3.9,6.7,4.1
manufacturing,1995m5,13.6,10.1,12.9,21.9,18.8,13.3,17.5,16.2,18.1,27.5,21.6,11.4,13.5,13.9,-4.2
construction,1995m5,31.1,21.9,30.3,28.2,37.2,30.4,28.1,27.3,44.3,51.7,44.3,36.2,32.3,36.8,27.1
commerce,1995m5,20.9,9.5,17.2,19.5,19.9,11.8,15.2,16.3,15.2,20.2,18.5,15.2,18.5,16.3,14.9
gdp,1995m5,12.7,7.4,12.5,15.4,17.4,14.9,10.3,10.1,11.7,17.4,15.6,9.6,13.5,13.7,5.9
