industry,vintage,tp_1993m1,tp_1993m2,tp_1993m3,tp_1993m4,tp_1993m5,tp_1993m6,tp_1993m7,tp_1993m8,tp_1993m9,tp_1993m10,tp_1993m11,tp_1993m12,tp_1994m1,tp_1994m2,tp_1994m3,tp_1994m4,tp_1994m5,tp_1994m6,tp_1994m7,tp_1994m8,tp_1994m9,tp_1994m10,tp_1994m11,tp_1994m12
agriculture,1995m2,-1.1,1.3,-3.3,-1.7,1.4,4.5,8.9,20.4,15.4,10.6,11.7,9.0,11.9,5.4,12.8,16.6,26.2,34.4,6.7,4.4,2.6,6.9,7.5,8.6
fishing,1995m2,35.8,-38.4,88.1,89.7,6.6,29.8,83.7,-2.6,23.8,20.6,-4.5,-3.5,3.8,84.5,46.0,41.7,43.1,32.2,24.0,27.9,23.3,80.0,49.1,-6.3
mining,1995m2,7.3,6.2,8.5,3.4,8.2,7.2,14.3,10.1,11.1,5.0,4.5,8.9,8.3,3.5,8.4,9.1,14.0,7.2,2.2,0.3,-1.8,1.0,1.4,-1.4
manufacturing,1995m2,-3.6,-5.0,9.9,12.0,3.6,9.7,13.8,10.9,9.5,4.3,10.1,6.5,13.6,10.1,12.9,21.9,18.8,13.3,17.5,16.2,18.1,27.5,21.6,11.4
construction,1995m2,-6.9,-1.6,6.5,7.0,10.2,23.1,18.8,28.0,19.4,11.3,29.0,25.8,31.1,21.9,30.3,28.2,37.2,30.4,28.1,27.3,44.3,51.7,44.3,36.2
commerce,1995m2,-7.9,-4.0,-0.6,4.9,3.7,5.8,8.6,10.0,9.1,2.6,6.6,12.6,20.9,9.5,17.2,19.5,19.9,11.8,15.2,16.3,15.2,20.2,18.5,15.1
gdp,1995m2,-2.1,-1.5,5.0,5.9,4.0,8.1,11.4,12.7,10.0,5.4,9.2,9.4,12.7,7.4,12.5,15.4,17.4,14.9,10.3,10.1,11.7,17.4,15.6,9.6
