industry,vintage,tp_2019q2,tp_2019q3,tp_2019q4,tp_2019,tp_2020q1,tp_2020q2,tp_2020q3,tp_2020q4,tp_2020,tp_2021q1,tp_2021q2,tp_2021q3,tp_2021q4,tp_2021,tp_2022q1,tp_2022q2
agriculture,2022m10,2.4,2.2,5.3,3.5,4.0,1.8,-1.9,0.2,1.0,0.6,1.1,11.3,6.4,4.5,3.9,4.7
fishing,2022m10,-27.3,29.5,-23.9,-17.2,-16.5,-14.4,14.9,38.6,4.2,51.6,26.1,-28.8,-3.0,9.9,-33.2,-12.8
mining,2022m10,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.2,-3.9,-13.4,0.0,39.0,6.5,-3.1,8.1,1.2,-1.3
manufacturing,2022m10,-6.8,3.8,-2.5,-1.7,-9.3,-36.2,-6.9,2.0,-12.5,16.2,61.6,9.3,2.7,18.6,1.9,3.5
electricity,2022m10,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8,25.3,6.3,3.0,8.5,3.4,2.6
construction,2022m10,7.1,3.3,-4.5,1.4,-12.3,-66.3,-4.4,20.1,-13.3,42.5,232.5,23.9,-5.8,34.5,-0.5,3.7
commerce,2022m10,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,1.4,85.9,10.1,3.9,17.8,5.9,2.6
services,2022m10,3.5,4.1,3.7,3.8,-1.5,-24.9,-10.7,-4.7,-10.4,0.5,31.3,13.5,6.7,11.8,5.4,4.4
gdp,2022m10,1.2,3.4,2.0,2.2,-3.9,-29.9,-8.8,-1.3,-11.0,4.5,42.0,11.9,3.5,13.6,3.8,3.3
