industry,vintage,tp_2019q1,tp_2019q2,tp_2019q3,tp_2019q4,tp_2019,tp_2020q1,tp_2020q2,tp_2020q3,tp_2020q4,tp_2020,tp_2021q1,tp_2021q2,tp_2021q3,tp_2021q4,tp_2021,tp_2022q1
agriculture,2022m7,4.8,2.4,2.2,5.3,3.5,4.0,1.8,-1.9,0.2,1.0,0.2,1.0,11.1,6.0,4.2,3.7
fishing,2022m7,-12.9,-27.3,29.5,-23.9,-17.2,-16.5,-14.4,14.9,38.6,4.2,37.3,21.2,-37.8,-7.4,2.8,-26.2
mining,2022m7,-0.5,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.2,-3.9,-13.4,0.0,39.0,4.4,-3.1,7.5,1.1
manufacturing,2022m7,-0.7,-6.8,3.8,-2.5,-1.7,-9.3,-36.2,-6.9,2.0,-12.5,16.2,61.6,9.3,2.7,18.6,1.9
electricity,2022m7,5.9,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8,25.3,6.3,3.0,8.5,3.4
construction,2022m7,2.0,7.1,3.3,-4.5,1.4,-12.3,-66.3,-4.4,20.1,-13.3,42.5,232.5,23.9,-5.8,34.5,-0.5
commerce,2022m7,2.4,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,1.4,85.9,10.1,3.9,17.8,5.9
services,2022m7,3.8,3.5,4.1,3.7,3.8,-1.5,-24.9,-10.7,-4.7,-10.4,0.6,31.5,13.5,6.6,11.9,5.4
gdp,2022m7,2.4,1.2,3.4,2.0,2.2,-3.9,-29.9,-8.8,-1.3,-11.0,4.5,42.0,11.6,3.4,13.5,3.8
