sectores_economicos;economic_sectors;2004_ago;2004_set;2004_oct;2004_nov;2004_dic;2004_year;2005_ene;2005_feb;2005_mar;2005_abr;2005_may;2005_jun;2005_jul;2005_ago;2005_ene_ago
agropecuario;agriculture and livestock;-0.4;0.7;0.2;4.8;3.5;-1.1;0.5;3.8;3;8;3.1;8.6;7;4.4;5
agricola;agriculture;-2.8;0;-1.9;7.4;1.5;-3.2;0.5;5.3;3.4;10.7;3;11.4;8.4;1.8;6
pecuario;livestock;2.1;0.7;2.1;0.7;5.2;2;0.7;2;2.5;3.2;3.2;3.5;5.3;7.1;3.5
pesca;fishing;10.5;53.3;1.3;37;40.9;30.5;8;20.8;9.3;-0.2;2.3;-13.2;-18.7;5.9;-0.4
mineria e hidrocarburos;mining and fuel;5.9;0.2;2.4;4.9;7.8;5.4;0;-0.3;2.8;0.1;4.8;8.5;15.8;8.8;4.9
mineria;metals;5.5;-1.2;0.7;3.3;7.2;5.3;-2.2;-2.8;0.2;-2.9;2;6.1;13.8;7;2.5
hidrocarburos;fuel;11.5;23.6;28.9;30.4;17.5;7.1;30.1;36.3;36.2;39.2;38.5;36.2;37.7;20.8;35.4
manufactura;manufacturing;4.9;4.2;6;11.1;10.1;6.7;5.8;8.8;2.4;6.8;9.2;5.9;3.1;8.4;6.3
procesadores recursos primarios;based on raw materials;-2.5;-5.9;-0.5;10.9;8.7;5.9;-3.4;3.8;-3.4;-0.9;3.6;-5;-7.6;2.6;-1.4
industria no primaria;non primary industries;6.8;6.7;7.8;11.2;10.5;6.9;8;9.8;3.6;8.8;10.9;8.9;5.9;9.7;8.2
electricidad y agua;electricity and water;4.4;5.5;3.2;4.6;6.8;4.6;5.5;1.8;4.1;5.5;6.6;4.8;5.3;6.1;5
construcción;construction;4.6;5;-2.8;8.3;7.9;4.7;4.7;4;-0.1;10.6;8;3.8;7.7;10.9;6.2
comercio;commerce;8.5;5.9;4.4;13.6;9.7;4.8;9;9.2;5.3;9;7.1;3.3;5.7;4.3;6.6
otros servicios;other services;6.4;4.9;1.1;8.8;9.3;4.7;7.2;10.4;5.4;4.1;6;5;3.1;5;5.7
valor agregado bruto;gross aggreagated value;5.6;4.3;2.2;9.3;9;4.6;5.9;8;4.1;5.8;6.3;5.3;4.9;6;5.8
impuestos a los productos y derechos de importación;taxes on products and import duties;7.8;7.9;2.9;3.7;6.9;6.4;8.1;2.7;10.8;10.9;6;-1.6;5.5;12.7;6.9
pbi;gdp;5.9;4.7;2.3;8.7;8.7;4.8;6.1;7.4;4.7;6.2;6.3;4.6;4.9;6.7;5.9
vab sectores primarios;primary sectors;1.8;0.1;0.9;7;6.9;3.1;-0.1;2.5;2.1;3.8;3.6;5.5;6.5;5.9;3.8
vab sectores no primarios;non primary sectors;6.6;5.4;2.5;9.9;9.4;5.1;7.5;9.3;4.7;6.4;7.2;5.2;4.4;6.1;6.3
pbi desestacionalizado;seasonally adjusted gdp;0.8;-0.1;0.7;1.4;0.9;;0;1.5;-1.5;0.7;-0.8;-0.1;2.6;0.2;
demanda interna;domestic demand;5.1;4;-0.1;9.1;7.6;3.9;4.3;6.9;2.4;5.3;6.1;1.5;5.7;6.9;4.9
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.3;-0.3;0.4;1.5;0.6;;-1.9;1.7;-1.9;3.1;-1.8;0.5;4.7;-1.7;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
