sectores_economicos;economic_sectors;2004_abr;2004_may;2004_jun;2004_jul;2004_ago;2004_set;2004_oct;2004_nov;2004_dic;2004_year;2005_ene;2005_feb;2005_mar;2005_abr;2005_ene_abr
agropecuario;agriculture and livestock;-5.6;-3.2;-7.7;-2.2;-0.4;0.7;0.1;4.8;3.4;-1.1;0.7;5.1;3.1;10.4;5.2
agricola;agriculture;-8.4;-5.1;-11.4;-5.5;-2.8;0;-1.9;7.4;1.5;-3.2;-0.4;6.7;2.6;13.5;6.5
pecuario;livestock;0.7;1.1;1;3.2;2.1;0.7;2.1;0.7;5.2;2;2;3.2;3.7;4.8;3.4
pesca;fishing;18.8;46.1;33.5;69.5;10.5;53.3;1.3;37;40.9;30.5;-0.3;6.8;-2;-6.8;-1.9
mineria e hidrocarburos;mining and fuel;11.1;0.1;-2.1;-1.8;5.9;0.2;2.4;4.9;7.7;5.4;0;-0.3;2.7;0.1;0.6
mineria;metals;12.1;0.4;-2.5;-2.4;5.4;-1.3;0.6;3.2;7.1;5.2;-2.2;-2.8;0.2;-2.9;-1.9
hidrocarburos;fuel;-6.3;-5.2;-1.5;3.2;11.5;23.6;28.9;30.4;17.5;7.1;30.1;36.3;38.2;39.2;35.4
manufactura;manufacturing;5.1;6.7;6.1;9.8;4.9;4.2;6;11.1;10.1;6.7;5.3;7.8;2.1;7.1;5.5
procesadores recursos primarios;based on raw materials;-1.8;12.7;18.6;20.2;-2.5;-5.9;-0.5;10.9;8.7;5.9;-6.4;2.3;-5.3;-0.9;-2.6
industria no primaria;non primary industries;7.4;4.9;2.7;7.1;6.8;6.6;7.8;11.2;10.5;6.9;8;8.9;3.7;9.3;7.4
electricidad y agua;electricity and water;5.2;4.4;3.6;2.5;4.4;5.5;3.2;4.6;6.8;4.6;5.4;1.8;3.4;4.9;3.9
construcción;construction;3.5;3;5.4;0.7;4.6;5;-2.8;8.3;7.9;4.7;4.7;4;-0.1;10.6;4.7
comercio;commerce;3.2;1.5;1.5;2.1;8.5;5.9;4.4;13.6;9.7;4.8;6.8;7.2;3;8.5;6.4
otros servicios;other services;2.9;2.5;2.5;4.3;6.4;4.9;1;8.8;9.3;4.7;6.4;9.5;4.7;4.1;6.1
valor agregado bruto;gross aggreagated value;3;2.4;1.6;3.8;5.7;4.3;2.2;9.3;8.9;4.6;5.1;7.2;3.4;5.9;5.4
impuestos a los productos y derechos de importación;taxes on products and import duties;7.5;16.7;11.9;3;7.8;7.9;2.9;3.7;6.9;6.4;8.1;2.7;10.7;10.8;8.2
pbi;gdp;3.4;3.6;2.6;3.7;5.9;4.7;2.3;8.7;8.7;4.8;5.4;6.7;4;6.4;5.6
vab sectores primarios;primary sectors;0.5;1.4;-1.3;2.7;1.8;0.1;0.9;7;6.8;3.1;-0.8;2.6;1.5;4.7;2.1
vab sectores no primarios;non primary sectors;3.8;2.7;2.6;4;6.6;5.4;2.5;9.9;9.4;5.1;6.6;8.3;3.8;6.3;6.2
pbi desestacionalizado;seasonally adjusted gdp;1.2;-0.4;0.5;1.1;0.8;0;0.6;1.3;0.9;;-0.7;1.5;-1.5;1.5;
demanda interna;domestic demand;3.9;4;4.3;0.4;5;3.9;-0.3;8.8;7.5;3.8;4.3;7;2;6.8;4.8
demanda interna desestacionalizada;seasonally adjusted domestic demand;3.3;-1;1.3;0;1.2;-0.8;0.6;1.3;0.2;;-0.3;1.1;-2.5;3.9;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
