sectores_economicos;economic_sectors;2003_nov;2003_dic;2003_year;2004_ene;2004_feb;2004_mar;2004_abr;2004_may;2004_jun;2004_jul;2004_ago;2004_set;2004_oct;2004_nov;2004_ene_nov;
agropecuario;agriculture and livestock;-1.4;-1.5;2.3;4.2;1.1;0.1;-4.7;-2.5;-7;-2.4;-0.6;0.4;-1.9;3.2;-1.5;
agricola;agriculture;-2.7;-4.3;1.6;4;1;-1;-7.6;-4.2;-10.7;-5.4;-3.1;-0.7;-6.2;5.8;-3.6;
pecuario;livestock;0;1.8;3;4.3;1.2;1.6;1;1.4;0.4;2.1;2;1.4;2.5;0.7;1.7;
pesca;fishing;-2.7;-32;-12.6;5.1;9.5;26.9;12;39;28.5;58.8;3.8;29.8;-3.5;30.7;22.3;
mineria e hidrocarburos;mining and fuel;5.3;4;6.9;10.6;18;9.4;10.7;0;-2.2;-1.8;5.9;0.5;2.7;5.2;5.1;
mineria;metals;6;4.5;7.7;11.6;19.7;10.9;12.1;0.4;-2.5;-2.4;5.4;-1.3;0.6;3.2;5;
hidrocarburos;fuel;-4.1;-1.5;-4.5;-3.4;-4.1;-8.7;-6.3;-5.2;-1.5;3.2;11.5;23.6;28.9;30.4;6.2;
manufactura;manufacturing;1.1;-1.7;2.1;3.9;2.8;7;5.1;6.2;7;9.1;5.1;4;6.1;10.8;6.1;
procesadores recursos primarios;based on raw materials;-1.9;-15.5;-1.8;7.1;-2.5;-0.5;-3.8;10.1;15.7;17.5;-4.1;-9.4;-2.2;9.5;3.6;
industria no primaria;non primary industries;2;2.7;3.2;3.2;4;8.7;7.8;5.1;4.9;7;7.3;7.1;8.2;11.2;6.8;
electricidad y agua;electricity and water;4.3;3.1;4.2;3.2;6.4;4.4;5;4.2;3.5;2.4;4.3;5.6;3;4.6;4.2;
construcción;construction;-0.4;5;4.2;6.9;5.9;8.7;3.6;3;5.4;0.7;4.6;5;-2.8;8.4;4.4;
comercio;commerce;-1.6;1.7;3.8;1.9;2.8;4.7;3;1.4;1.2;1.3;7.6;4.1;2.5;12.2;3.7;
otros servicios;other services;0.5;6.3;4;3.3;4.7;8.1;4.2;4;4.3;6.1;8.2;6.1;2.4;10;5.5;
valor agregado bruto;gross aggreagated value;0.5;3.1;3.6;4;4.6;6.7;3.5;2.9;2.5;4.2;6.3;4.5;2.4;9.4;4.6;
impuestos a los productos y derechos de importación;taxes on products and import duties;2.6;5.5;5.3;0.3;8.7;-0.7;5.6;14.6;9.8;-0.5;4.4;4.6;-0.9;-0.1;4;
pbi;gdp;0.7;3.4;3.8;3.7;5.2;6;3.7;3.9;3.2;3.8;6.1;4.5;2.1;8.4;4.6;
vab sectores primarios;primary sectors;0.9;-3.3;2.8;7.1;6.7;3.8;0.4;1.1;-1.6;2;1.4;-0.8;-0.2;6;2.2;
vab sectores no primarios;non primary sectors;0.4;4.7;3.8;3.3;4.4;7.4;4.5;3.5;3.7;4.8;7.5;5.8;3;10.3;5.3;
pbi desestacionalizado;seasonally adjusted gdp;-0.8;1.1;;1.2;1.1;1;-0.7;-1.1;1.1;0.3;1.2;-1.1;-1.4;5.4;;
demanda interna;domestic demand;-0.2;2.3;3.3;1.8;3.4;3.1;4.1;4.4;4.8;0.7;5.2;3.5;-0.5;8.2;3.5;
demanda interna desestacionalizada;seasonally adjusted domestic demand;-1.2;0.6;;0.8;-0.1;1.6;1.7;-1.6;2.8;-3.1;2.5;-1.6;-2.7;7.4;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
