industry,vintage,tp_2022q2,tp_2022q3,tp_2022q4,tp_2022,tp_2023q1,tp_2023q2,tp_2023q3,tp_2023q4,tp_2023,tp_2024q1,tp_2024q2,tp_2024q3,tp_2024q4,tp_2024,tp_2025q1,tp_2025q2
agriculture,2025m8,4.9,5.4,3.1,4.6,2.1,-5.4,-3.0,-0.1,-2.0,0.1,8.5,-0.2,12.3,5.4,2.9,2.8
fishing,2025m8,-7.8,17.4,-17.7,-11.4,16.3,-61.5,-11.9,-6.4,-21.2,-29.8,184.2,-11.1,16.0,24.9,25.2,-4.3
mining,2025m8,-1.1,-4.2,6.0,0.5,2.6,16.5,8.8,4.8,8.1,8.3,-2.9,4.6,-0.3,2.2,2.4,0.6
manufacturing,2025m8,3.4,1.2,-2.2,1.0,-0.4,-11.7,-8.3,-5.4,-6.5,-6.3,10.1,5.7,7.4,4.2,4.1,2.2
electricity,2025m8,2.6,4.3,5.2,3.9,4.6,5.8,3.0,1.5,3.7,3.7,1.4,2.1,2.2,2.4,1.5,2.1
construction,2025m8,3.4,3.6,5.1,3.1,-11.6,-7.5,-9.2,-5.4,-8.2,5.2,3.9,4.9,1.2,3.6,5.6,4.8
commerce,2025m8,2.6,2.4,2.5,3.3,2.2,3.1,2.6,1.6,2.4,2.4,2.5,3.2,3.6,3.0,3.4,3.0
services,2025m8,4.6,2.9,1.7,3.6,-0.3,0.2,-0.3,-0.1,-0.1,1.4,2.6,3.9,4.3,3.1,4.3,3.4
gdp,2025m8,3.4,2.1,2.0,2.8,-0.1,-0.4,-0.7,-0.4,-0.4,1.4,3.6,3.9,4.2,3.3,3.9,2.8
