industry,vintage,tp_2011m1,tp_2011m2,tp_2011m3,tp_2011m4,tp_2011m5,tp_2011m6,tp_2011m7,tp_2011m8,tp_2011m9,tp_2011m10,tp_2011m11,tp_2011m12,tp_2012m1
agriculture,2012m3,5.6,4.9,-0.6,4.0,1.3,3.5,10.1,7.4,3.4,4.4,4.1,-1.3,2.2
fishing,2012m3,17.8,13.9,7.2,110.1,2.0,-17.4,72.8,92.6,30.2,35.1,0.3,74.5,-7.7
mining,2012m3,0.0,-3.5,2.5,-3.9,2.8,-5.6,-1.1,3.1,0.7,-0.5,-1.1,4.2,-2.2
manufacturing,2012m3,15.1,11.1,10.7,9.9,5.6,2.6,4.1,5.4,1.8,-0.4,-0.2,3.7,1.7
electricity,2012m3,7.6,7.7,6.7,6.6,8.1,7.4,7.5,8.2,7.6,7.3,6.9,7.3,5.8
construction,2012m3,16.2,4.9,3.6,0.1,3.7,-2.8,-3.0,6.6,1.6,4.4,3.2,3.8,4.4
commerce,2012m3,10.4,11.1,9.6,9.3,8.8,8.4,8.5,8.5,8.8,8.7,7.0,7.0,7.7
services,2012m3,9.7,8.9,9.3,9.0,9.7,8.2,7.7,8.5,7.7,6.8,7.4,7.2,6.0
gdp,2012m3,10.2,8.3,8.0,7.8,7.4,5.4,6.5,7.7,5.9,5.3,5.1,6.0,5.4
