target_period,agriculture_2020_12,fishing_2020_12,mining_2020_12,manufacturing_2020_12,electricity_2020_12,construction_2020_12,commerce_2020_12,services_2020_12,gdp_2020_12
2019m10,5.1,-12.1,0.7,0.9,2.8,1.5,3.5,3.7,2.4
2019m11,5.2,-17.9,4.1,-2.3,2.5,-3.5,3.5,4.3,2.1
2019m12,7.7,-48.5,1.6,-5.5,2.0,-9.9,3.6,4.3,1.2
2020m1,4.2,-32.7,3.9,0.8,1.4,5.7,2.7,3.7,3.0
2020m2,4.9,19.3,3.6,3.7,5.1,5.6,2.6,3.8,3.7
2020m3,1.7,-21.4,-21.7,-29.0,-11.8,-46.3,-22.3,-6.8,-16.3
2020m4,2.5,-57.8,-42.2,-52.9,-25.5,-90.3,-65.4,-27.9,-39.2
2020m5,5.9,-47.0,-45.6,-42.4,-21.8,-66.7,-49.6,-22.3,-32.3
2020m6,-0.5,48.0,-14.2,-8.9,-10.6,-42.7,-27.8,-17.8,-17.9
2020m7,-5.9,33.3,-5.9,-10.8,-5.0,-12.9,-10.5,-13.6,-11.6
2020m8,-4.3,-6.5,-11.1,-12.5,-2.7,-6.7,-8.1,-9.8,-9.7
2020m9,-2.6,7.3,-12.2,-6.3,-1.7,4.4,-6.1,-7.7,-6.9
2020m10,2.4,12.3,-2.8,-3.3,0.0,8.8,-3.8,-6.3,-3.8
