target_period,agriculture_2024_2,fishing_2024_2,mining_2024_2,manufacturing_2024_2,electricity_2024_2,construction_2024_2,commerce_2024_2,services_2024_2,gdp_2024_2
2023m1,3.6,27.4,-0.8,0.2,3.2,-11.9,1.2,-0.4,-0.9
2023m2,-0.4,1.0,0.4,-1.6,4.1,-10.1,2.4,0.1,-0.6
2023m3,-1.0,16.5,9.3,-0.4,6.5,-12.4,3.0,0.1,0.3
2023m4,-11.5,-8.8,17.3,-3.7,7.3,-5.1,3.2,0.6,0.4
2023m5,-4.9,-71.3,16.8,-15.7,5.7,-10.7,3.2,0.1,-1.3
2023m6,-0.9,-68.9,16.0,-14.6,4.4,-6.0,3.1,0.5,-0.6
2023m7,-0.9,-47.9,11.5,-13.4,2.3,-8.8,3.0,0.4,-1.2
2023m8,-4.8,49.1,6.7,-4.1,3.8,-9.4,2.8,-0.2,-0.4
2023m9,-7.6,16.9,8.9,-9.3,2.9,-9.7,1.9,-0.7,-1.2
2023m10,-6.1,51.6,3.2,-2.7,2.6,-7.5,1.4,-0.7,-0.7
2023m11,2.7,61.0,7.9,-0.5,0.7,-6.3,1.3,-0.4,0.3
2023m12,0.2,-51.3,3.6,-10.9,1.0,-0.8,2.0,1.1,-0.7
