industry,vintage,tp_2023m7,tp_2023m8,tp_2023m9,tp_2023m10,tp_2023m11,tp_2023m12,tp_2024m1,tp_2024m2,tp_2024m3,tp_2024m4,tp_2024m5,tp_2024m6,tp_2024m7
agriculture,2024m9,-0.5,-3.4,-7.0,-5.4,3.5,0.8,-2.0,-0.5,1.4,24.6,3.7,-1.6,-3.9
fishing,2024m9,-48.9,42.3,11.2,50.4,55.6,-53.4,-25.2,-31.5,-35.4,144.1,363.5,56.8,14.9
mining,2024m9,11.0,6.7,8.7,3.3,7.4,3.6,4.6,16.9,2.9,-4.2,1.9,-7.5,3.1
manufacturing,2024m9,-13.0,-3.3,-8.5,-3.8,-0.5,-11.6,-4.4,-4.2,-10.2,11.9,18.5,0.2,10.9
electricity,2024m9,2.3,3.8,2.9,2.6,0.7,1.1,3.5,8.0,0.0,2.5,1.5,0.1,3.0
construction,2024m9,-8.8,-9.4,-9.7,-7.5,-6.3,-0.8,13.2,6.4,-3.5,6.9,5.6,-2.4,7.1
commerce,2024m9,3.0,2.8,1.9,1.4,1.3,2.0,2.4,3.0,1.8,3.1,2.1,2.3,3.4
services,2024m9,0.3,-0.6,-0.9,-0.4,-0.3,1.3,1.4,2.1,1.6,2.9,2.4,3.6,3.8
gdp,2024m9,-1.2,-0.4,-1.2,-0.7,0.3,-0.7,1.5,3.1,-0.4,5.4,5.1,0.2,4.5
