target_period,agriculture_2024_5,fishing_2024_5,mining_2024_5,manufacturing_2024_5,electricity_2024_5,construction_2024_5,commerce_2024_5,services_2024_5,gdp_2024_5
2023m3,0.1,16.5,8.8,-0.2,6.5,-12.4,3.0,0.0,0.3
2023m4,-11.4,-8.8,16.7,-3.7,7.3,-5.1,3.2,0.7,0.4
2023m5,-4.7,-71.3,16.8,-15.6,5.7,-10.7,3.2,0.1,-1.3
2023m6,-1.0,-68.9,15.8,-14.7,4.4,-6.0,3.1,0.7,-0.6
2023m7,-0.5,-47.9,10.9,-13.0,2.3,-8.8,3.0,0.4,-1.2
2023m8,-3.6,49.1,6.7,-3.2,3.8,-9.4,2.8,-0.6,-0.4
2023m9,-7.1,16.9,8.7,-8.5,2.9,-9.7,1.9,-0.9,-1.2
2023m10,-5.1,51.6,3.3,-3.9,2.6,-7.5,1.4,-0.5,-0.7
2023m11,3.6,61.0,7.4,-0.4,0.7,-6.3,1.3,-0.4,0.3
2023m12,0.8,-51.3,3.5,-11.1,1.0,-0.8,2.0,1.1,-0.7
2024m1,-2.4,-26.8,4.4,-4.2,3.8,13.2,2.4,1.5,1.5
2024m2,-1.0,-31.3,16.8,-4.7,8.1,6.4,3.0,2.2,3.0
2024m3,1.1,-32.5,2.6,-9.6,0.2,-2.5,1.8,1.6,-0.3
