target_period,agriculture_2024_4,fishing_2024_4,mining_2024_4,manufacturing_2024_4,electricity_2024_4,construction_2024_4,commerce_2024_4,services_2024_4,gdp_2024_4
2023m2,-0.4,1.0,0.4,-1.7,4.1,-10.1,2.4,0.1,-0.6
2023m3,-1.0,16.5,9.3,-0.3,6.5,-12.4,3.0,0.1,0.3
2023m4,-11.5,-8.8,17.3,-3.7,7.3,-5.1,3.2,0.6,0.4
2023m5,-4.9,-71.3,16.8,-15.6,5.7,-10.7,3.2,0.1,-1.3
2023m6,-0.9,-68.9,16.0,-14.6,4.4,-6.0,3.1,0.6,-0.6
2023m7,-0.9,-47.9,11.5,-13.0,2.3,-8.8,3.0,0.3,-1.2
2023m8,-4.8,49.1,6.7,-3.7,3.8,-9.4,2.8,-0.3,-0.4
2023m9,-7.6,16.9,8.9,-9.2,2.9,-9.7,1.9,-0.7,-1.2
2023m10,-6.1,51.6,3.2,-3.2,2.6,-7.5,1.4,-0.5,-0.7
2023m11,2.7,61.0,7.8,-2.8,0.7,-6.3,1.3,0.3,0.3
2023m12,0.2,-51.3,3.6,-10.9,1.0,-0.8,2.0,1.1,-0.7
2024m1,-2.8,-26.8,4.0,-4.2,3.7,13.2,2.4,1.5,1.4
2024m2,-1.9,-31.3,15.9,-4.7,8.1,6.4,3.0,2.1,2.8
