sectores_economicos;economic_sectors;2002_feb;2002_mar;2002_abr;2002_may;2002_jun;2002_jul;2002_ago;2002_set;2002_oct;2002_nov;2002_dic;2002_year;2003_ene;2003_feb;2003_ene_feb
agropecuario;agriculture and livestock;4.6;7.7;10.9;11.2;-0.5;2.7;0.6;6.6;3.4;8.5;6.6;5.8;4.6;1.4;2.9
agricola;agriculture;7.3;11.1;14.1;12.1;-4.1;1.2;-3.8;4.5;2.1;9.6;9.8;6.1;4.4;0.7;2.5
pecuario;livestock;1.6;3.4;5.2;9.1;7.4;5;5.8;8.6;4.7;7.4;3.6;5.3;4.9;2.3;3.5
pesca;fishing;-26.9;-22.7;-16.6;11.9;36.1;4.7;1.7;18.6;-26.3;57.7;51.8;3.1;-24.1;7.2;-11.6
mineria e hidrocarburos;mining and fuel;19.5;27.2;19.7;15.2;21;0.9;6.9;2.8;4.5;2.6;-0.8;11.2;3;9.3;5.9
mineria;metals;21.1;29.9;21.6;17.2;22.1;0.8;7.4;3;4.7;2.5;-1.2;12.4;4.1;11;7.3
hidrocarburos;fuel;5.8;4.5;-1.1;-4.5;7.9;-1.5;-1;0.3;-1.4;0.6;-5.4;0.6;-7.7;-6.9;-7.3
manufactura;manufacturing;0.2;-4.1;8.7;1.5;3.1;5.4;4.1;7.4;3.1;7.5;11.7;4.2;4;4.3;4.1
procesadores recursos primarios;based on raw materials;-4.2;-8.3;-7.1;-3.5;4.5;0;-3.3;-1.9;-6.8;16;16.5;0.1;-10.1;-0.3;-5.6
industria no primaria;non primary industries;1.3;-2.9;13.8;3.2;2.8;7;6;9.7;5.7;5.3;10.4;5.3;7.7;5.4;6.6
construccion;construction;10.5;4.7;8.5;5.2;10.2;13.5;7.5;13.3;4.2;2.4;5.5;8.3;-4.7;4.7;-0.2
comercio;commerce;-0.8;-0.5;9.6;8.3;1.7;2.2;1.2;7.3;2.2;4.7;6.1;3.8;6.8;5.1;5.9
otros servicios;other services;1.2;-0.3;8.2;3.9;5.8;5.6;5;8.8;5.4;6.5;5.4;4.9;5.7;6;5.8
