sectores_economicos;economic_sectors;2002_ago;2002_set;2002_oct;2002_nov;2002_dic;2002_year;2003_ene;2003_feb;2003_mar;2003_abr;2003_may;2003_jun;2003_jul;2003_ago;2003_ene_ago
agropecuario;agriculture and livestock;0.6;6.6;3.4;8.5;6.6;5.8;5.2;1.3;0.4;5.1;0.6;6;4.4;2.5;3.2
agricola;agriculture;-3.8;4.5;2.1;9.6;9.8;6.1;4.8;0.3;-2;5.2;-0.4;7.4;3.8;2.3;2.7
pecuario;livestock;5.8;8.6;4.7;7.4;3.6;5.3;5.6;2.6;3.7;5.1;3.3;3.3;5.4;2.8;4
pesca;fishing;1.7;18.6;-26.3;57.7;51.8;3.1;-20.7;8;-26.6;7.2;-26.7;-33.6;-26.2;5.2;-17.5
mineria e hidrocarburos;mining and fuel;7.1;3.7;4.2;2.4;-1.7;11.3;2.9;9.9;1.4;8.2;14;10.2;11.9;1.2;7.3
mineria;metals;7.4;3;4.7;2.5;-1.2;12;3.9;11.7;2;9.1;15.8;11.2;13.5;2.3;8.5
hidrocarburos;fuel;-1;0.3;-1.4;0.6;-5.4;0.6;-7.7;-6.9;-4;-0.8;-3.1;0.2;-4;-10.3;-4.6
manufactura;manufacturing;4.1;7.4;3.1;7.5;11.7;4.2;4.2;6.6;5.5;-0.6;-0.5;3.3;1;1.4;2.5
procesadores recursos primarios;based on raw materials;-3.3;-1.9;-6.8;16;16.5;0.1;-9.5;0.5;-7;9.2;-6.6;-9.8;-9.3;2.3;-4
industria no primaria;non primary industries;6;9.7;5.7;5.3;10.4;5.3;8;8.1;8.8;-3.2;1.3;7;3.8;1.2;4.2
electricidad y agua;electricity and water;3.6;5.4;5;4.6;5.3;5.4;4.4;6;4.1;2.1;3.7;6.4;5.9;6.1;4.8
construcción;construction;7.5;13.3;4.2;2.4;5.5;8.3;-4.7;4.5;11.4;1.9;3.3;8.9;0.4;3.4;3.4
comercio;commerce;1.2;7.4;2.2;4.7;6.1;3.8;7.4;5.4;8.3;2.6;-1.7;6.4;2.7;2.9;4
otros servicios;other services;4;8.1;4.6;6.5;4.1;4.5;5.9;5.5;5.4;3.9;2.6;4.5;4.2;2.3;4.2
valor agregado bruto;gross aggreagated value;3.6;7.7;3.7;6.2;5.7;5.1;4.8;5.5;5.1;3.3;1.6;5.2;3.6;2.4;3.9
impuestos a los productos y derechos de importación;taxes on products and import duties;8.6;17;12.1;11.5;13.3;7.5;8.8;11.1;16;1.1;0.6;11.7;1.5;10.5;7.4
pbi;gdp;4.1;8.5;4.4;6.7;6.5;5.3;5.2;6;6.1;3.1;1.5;5.7;3.4;3.1;4.2
vab sectores primarios;primary sectors;2.3;4.1;1;8.7;6.2;6.4;1;4.2;-1.2;6.7;1.9;3.4;3.6;2;2.8
vab sectores no primarios;non primary sectors;4;8.6;4.4;5.5;5.6;4.8;5.7;5.8;6.9;2.3;1.5;5.7;3.6;2.4;4.2
demanda interna;domestic demand;4;7.3;5.1;7.3;7.3;4.7;4.2;4.2;8.9;0.7;-0.3;7.3;3.4;3.7;3.9
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
