target_period,agriculture_2018_5,fishing_2018_5,mining_2018_5,manufacturing_2018_5,electricity_2018_5,construction_2018_5,commerce_2018_5,services_2018_5,gdp_2018_5
2017m1,2.0,42.2,14.9,6.8,5.8,-5.0,0.9,3.6,5.1
2017m2,-0.9,30.6,1.4,-2.5,-1.9,-6.9,0.2,2.8,0.8
2017m3,-1.7,37.3,-2.7,2.6,-0.6,-3.9,-0.8,2.5,1.0
2017m4,-0.6,101.0,0.0,-1.7,-0.9,-8.0,-0.6,2.4,0.4
2017m5,-3.6,280.4,-0.6,12.5,2.7,-3.7,1.5,3.3,3.6
2017m6,6.5,52.0,6.3,3.1,3.1,3.6,1.7,3.2,3.9
2017m7,12.3,-49.4,2.1,-4.6,1.4,3.9,1.2,3.2,2.1
2017m8,1.9,-40.5,3.7,0.5,1.9,4.9,1.2,3.4,2.8
2017m9,5.7,-30.0,7.1,-1.2,1.7,9.1,1.6,2.9,3.3
2017m10,0.6,-12.4,-1.5,3.0,1.0,16.4,1.4,4.1,3.5
2017m11,0.7,-45.6,3.7,-5.6,0.3,5.8,1.7,3.6,2.0
2017m12,12.0,-66.9,5.6,-12.5,-0.6,6.8,1.9,3.8,1.3
2018m1,3.9,12.4,-1.3,0.4,-0.8,8.3,2.4,4.1,2.9
2018m2,4.6,5.1,-2.2,0.3,1.4,7.6,2.6,4.1,2.8
2018m3,8.3,-4.9,5.2,2.3,3.7,0.0,3.1,4.5,3.9
