industry,vintage,tp_2017m1,tp_2017m2,tp_2017m3,tp_2017m4,tp_2017m5,tp_2017m6,tp_2017m7,tp_2017m8,tp_2017m9,tp_2017m10,tp_2017m11,tp_2017m12
agriculture,2018m2,1.8,-1.0,-1.8,-0.5,-3.6,5.9,11.8,1.9,6.5,0.8,-0.2,11.5
fishing,2018m2,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9
mining,2018m2,14.9,1.4,-2.7,0.0,-0.6,6.3,2.1,3.7,7.1,-1.5,3.7,5.6
manufacturing,2018m2,6.8,-2.5,2.6,-1.7,12.5,3.2,-4.7,0.5,-1.2,2.9,-5.6,-12.5
electricity,2018m2,5.8,-1.9,-0.6,-0.9,2.7,3.1,1.4,1.9,1.7,1.0,0.3,-0.6
construction,2018m2,-5.0,-6.9,-3.9,-8.1,-3.9,3.3,3.6,4.6,8.9,16.2,5.6,6.6
commerce,2018m2,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,1.2,1.6,1.4,1.7,1.9
services,2018m2,3.7,2.9,2.5,2.5,3.4,3.3,3.3,3.5,3.6,4.2,3.7,3.8
gdp,2018m2,5.1,0.8,1.0,0.4,3.6,3.9,2.1,2.8,3.6,3.6,2.0,1.3
