industry,vintage,tp_2017m5,tp_2017m6,tp_2017m7,tp_2017m8,tp_2017m9,tp_2017m10,tp_2017m11,tp_2017m12,tp_2018m1,tp_2018m2,tp_2018m3,tp_2018m4,tp_2018m5
agriculture,2018m7,-3.7,6.5,12.3,1.9,5.7,0.6,0.7,12.0,3.9,4.6,8.3,11.0,14.8
fishing,2018m7,280.4,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9,12.4,5.1,-4.9,81.2,26.7
mining,2018m7,-0.6,6.3,2.1,3.7,7.1,-1.5,3.7,5.6,-1.3,-2.2,5.2,1.1,1.9
manufacturing,2018m7,12.5,3.1,-4.6,0.5,-1.2,3.0,-5.6,-12.5,0.4,0.3,2.3,20.3,10.5
electricity,2018m7,2.7,3.1,1.4,1.9,1.7,1.0,0.3,-0.6,-0.8,1.4,3.7,5.6,3.4
construction,2018m7,-3.7,3.6,3.9,4.9,9.1,16.4,5.8,6.8,8.3,7.6,0.0,10.5,9.9
commerce,2018m7,1.5,1.7,1.2,1.2,1.6,1.4,1.7,1.9,2.4,2.6,3.1,4.9,3.3
services,2018m7,3.3,3.2,3.2,3.4,2.9,4.1,3.6,3.8,4.1,4.1,4.5,5.4,5.1
gdp,2018m7,3.6,3.9,2.1,2.8,3.3,3.5,2.0,1.3,2.9,2.8,3.9,7.8,6.4
