target_period,agriculture_2018_4,fishing_2018_4,mining_2018_4,manufacturing_2018_4,electricity_2018_4,construction_2018_4,commerce_2018_4,services_2018_4,gdp_2018_4
2017m2,-1.0,30.6,1.4,-2.5,-1.9,-6.9,0.2,2.9,0.8
2017m3,-1.8,37.3,-2.7,2.6,-0.6,-3.9,-0.8,2.5,1.0
2017m4,-0.5,101.0,0.0,-1.7,-0.9,-8.1,-0.6,2.5,0.4
2017m5,-3.6,280.4,-0.6,12.5,2.7,-3.9,1.5,3.4,3.6
2017m6,5.9,52.0,6.3,3.2,3.1,3.3,1.7,3.3,3.9
2017m7,11.8,-49.4,2.1,-4.7,1.4,3.6,1.2,3.3,2.1
2017m8,1.9,-40.5,3.7,0.5,1.9,4.6,1.2,3.5,2.8
2017m9,6.5,-30.0,7.1,-1.2,1.7,8.9,1.6,3.6,3.6
2017m10,0.8,-12.4,-1.5,3.0,1.0,16.2,1.4,4.2,3.6
2017m11,-0.2,-45.6,3.7,-5.6,0.3,5.6,1.7,3.7,2.0
2017m12,11.5,-66.9,5.6,-12.5,-0.6,6.6,1.9,3.8,1.3
2018m1,3.9,12.4,-1.5,0.2,-0.7,7.8,2.4,4.1,2.8
2018m2,4.7,5.1,-2.4,0.4,1.2,7.9,2.6,4.2,2.9
