target_period,agriculture_2017_7,fishing_2017_7,mining_2017_7,manufacturing_2017_7,electricity_2017_7,construction_2017_7,commerce_2017_7,services_2017_7,gdp_2017_7
2016m5,0.7,-67.0,33.0,-9.1,6.9,5.6,2.3,4.6,4.9
2016m6,0.1,-0.4,15.9,-1.4,5.6,-3.8,1.5,4.2,3.6
2016m7,-1.1,103.2,14.1,0.9,6.5,-7.9,1.2,4.1,3.6
2016m8,5.9,65.6,19.4,2.7,6.8,1.1,1.8,4.0,5.6
2016m9,1.5,20.9,14.5,3.2,6.6,-3.8,1.3,3.8,4.3
2016m10,2.4,3.4,15.7,-3.0,5.6,-16.5,0.7,3.1,2.2
2016m11,3.5,23.3,11.6,3.8,5.7,-8.7,0.5,3.2,3.4
2016m12,1.5,40.5,5.4,7.0,4.6,-4.2,1.3,3.3,3.3
2017m1,1.4,42.2,14.7,6.3,5.7,-5.3,1.0,3.5,4.9
2017m2,-1.0,30.6,1.4,-3.0,-1.9,-6.9,0.2,2.8,0.7
2017m3,-2.5,37.3,-2.7,1.8,-0.7,-3.8,-0.8,2.0,0.7
2017m4,-2.0,101.0,0.0,-2.2,-1.6,-8.0,-0.6,2.2,0.2
2017m5,-2.1,280.4,-0.6,11.3,2.5,-3.9,1.5,2.9,3.4
