target_period,agriculture_2017_8,fishing_2017_8,mining_2017_8,manufacturing_2017_8,electricity_2017_8,construction_2017_8,commerce_2017_8,services_2017_8,gdp_2017_8
2016m6,0.1,-0.4,15.9,-1.1,5.6,-3.8,1.5,4.4,3.7
2016m7,-1.2,103.2,14.1,0.9,6.5,-7.9,1.2,4.4,3.7
2016m8,6.1,65.6,19.4,3.0,6.8,1.1,1.8,4.4,5.8
2016m9,2.6,20.9,14.5,2.7,6.6,-3.8,1.3,4.1,4.4
2016m10,3.8,3.4,15.7,-2.7,5.6,-16.5,0.7,3.0,2.3
2016m11,5.1,23.3,11.6,4.1,5.7,-8.7,0.5,3.1,3.5
2016m12,2.0,40.5,5.4,7.2,4.6,-4.2,1.3,3.1,3.3
2017m1,1.0,42.2,14.9,6.2,5.7,-5.3,0.9,3.6,4.9
2017m2,-1.0,30.6,1.4,-2.9,-2.0,-6.9,0.2,2.8,0.7
2017m3,-2.2,37.3,-2.7,2.4,-0.7,-3.9,-0.8,2.3,0.9
2017m4,-0.9,101.0,0.0,-2.2,-0.9,-8.0,-0.6,2.2,0.2
2017m5,-2.1,280.4,-0.6,11.1,2.7,-3.9,1.5,3.2,3.5
2017m6,6.4,52.0,6.2,2.0,3.1,3.5,1.7,3.0,3.6
