target_period,agriculture_2017_3,fishing_2017_3,mining_2017_3,manufacturing_2017_3,electricity_2017_3,construction_2017_3,commerce_2017_3,services_2017_3,gdp_2017_3
2016m1,4.2,40.4,8.0,-3.1,8.5,-2.7,2.6,4.9,3.4
2016m2,0.8,-18.9,23.6,-0.3,14.2,5.4,3.4,5.4,6.2
2016m3,0.0,-19.0,16.2,-4.8,8.4,3.4,2.4,4.7,3.7
2016m4,4.1,-77.1,22.7,-13.2,9.1,1.4,3.1,4.8,2.7
2016m5,0.7,-67.0,33.0,-9.1,6.9,5.6,2.3,4.7,4.9
2016m6,0.1,-0.4,15.9,-1.3,5.6,-3.8,1.5,4.2,3.6
2016m7,-0.9,103.2,14.1,1.0,6.5,-7.9,1.2,4.2,3.7
2016m8,5.9,65.6,19.4,2.7,6.8,1.1,1.8,4.1,5.7
2016m9,1.5,20.9,14.5,2.9,6.6,-3.8,1.3,3.7,4.3
2016m10,2.3,3.4,15.7,-3.2,5.6,-16.5,0.7,3.3,2.2
2016m11,3.5,23.3,11.6,3.5,5.7,-8.7,0.5,3.2,3.4
2016m12,1.2,40.5,5.4,6.4,4.6,-4.2,1.3,3.2,3.2
2017m1,1.8,42.2,14.8,5.4,5.8,-5.3,1.0,3.5,4.8
