target_period,agriculture_2017_10,fishing_2017_10,mining_2017_10,manufacturing_2017_10,electricity_2017_10,construction_2017_10,commerce_2017_10,services_2017_10,gdp_2017_10
2016m9,2.6,20.9,14.5,2.7,6.6,-3.8,1.3,4.1,4.4
2016m10,3.8,3.4,15.7,-2.7,5.6,-16.5,0.7,3.0,2.3
2016m11,5.1,23.3,11.6,4.1,5.7,-8.7,0.5,3.1,3.5
2016m12,2.0,40.5,5.4,7.2,4.6,-4.2,1.3,3.1,3.3
2017m1,1.0,42.2,14.9,6.2,5.7,-5.3,0.9,3.6,4.9
2017m2,-1.0,30.6,1.4,-2.9,-2.0,-6.9,0.2,2.8,0.7
2017m3,-2.2,37.3,-2.7,2.4,-0.7,-3.9,-0.8,2.3,0.9
2017m4,-0.9,101.0,0.0,-2.2,-0.9,-8.0,-0.6,2.2,0.2
2017m5,-2.1,280.4,-0.6,11.1,2.7,-3.9,1.5,3.2,3.5
2017m6,6.4,52.0,6.2,2.0,3.1,3.5,1.7,3.0,3.6
2017m7,9.0,-49.4,1.8,-6.3,1.3,3.8,1.2,2.9,1.6
2017m8,-0.5,-40.5,3.6,-1.5,1.9,4.8,1.2,3.1,2.3
