industry,vintage,tp_2016m8,tp_2016m9,tp_2016m10,tp_2016m11,tp_2016m12,tp_2017m1,tp_2017m2,tp_2017m3,tp_2017m4,tp_2017m5,tp_2017m6,tp_2017m7
agriculture,2017m9,6.1,2.6,3.8,5.1,2.0,1.0,-1.0,-2.2,-0.9,-2.1,6.4,9.0
fishing,2017m9,65.6,20.9,3.4,23.3,40.5,42.2,30.6,37.3,101.0,280.4,52.0,-49.4
mining,2017m9,19.4,14.5,15.7,11.6,5.4,14.9,1.4,-2.7,0.0,-0.6,6.2,1.8
manufacturing,2017m9,3.0,2.7,-2.7,4.1,7.2,6.2,-2.9,2.4,-2.2,11.1,2.0,-6.3
electricity,2017m9,6.8,6.6,5.6,5.7,4.6,5.7,-2.0,-0.7,-0.9,2.7,3.1,1.3
construction,2017m9,1.1,-3.8,-16.5,-8.7,-4.2,-5.3,-6.9,-3.9,-8.0,-3.9,3.5,3.8
commerce,2017m9,1.8,1.3,0.7,0.5,1.3,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2
services,2017m9,4.4,4.1,3.0,3.1,3.1,3.6,2.8,2.3,2.2,3.2,3.0,2.9
gdp,2017m9,5.8,4.4,2.3,3.5,3.3,4.9,0.7,0.9,0.2,3.5,3.6,1.6
