industry,vintage,tp_2016m3,tp_2016m4,tp_2016m5,tp_2016m6,tp_2016m7,tp_2016m8,tp_2016m9,tp_2016m10,tp_2016m11,tp_2016m12,tp_2017m1,tp_2017m2,tp_2017m3
agriculture,2017m5,0.3,3.7,0.7,0.1,-1.1,5.9,1.5,2.4,3.5,1.5,1.4,-1.0,-2.5
fishing,2017m5,-19.0,-77.1,-67.0,-0.4,103.2,65.6,20.9,3.4,23.3,40.5,42.2,30.6,37.3
mining,2017m5,16.2,22.7,33.0,15.9,14.1,19.4,14.5,15.7,11.6,5.4,14.7,1.4,-2.7
manufacturing,2017m5,-4.8,-13.2,-9.1,-1.4,0.9,2.7,3.2,-3.0,3.8,7.0,6.3,-3.0,1.8
electricity,2017m5,8.4,9.1,6.9,5.6,6.5,6.8,6.6,5.6,5.7,4.6,5.7,-1.9,-0.7
construction,2017m5,3.4,1.4,5.6,-3.8,-7.9,1.1,-3.8,-16.5,-8.7,-4.2,-5.3,-6.9,-3.8
commerce,2017m5,2.4,3.1,2.3,1.5,1.2,1.8,1.3,0.7,0.5,1.3,1.0,0.2,-0.8
services,2017m5,4.7,4.8,4.6,4.2,4.1,4.0,3.8,3.1,3.2,3.3,3.5,2.8,2.0
gdp,2017m5,3.7,2.7,4.9,3.6,3.6,5.6,4.3,2.2,3.4,3.3,4.9,0.7,0.7
