industry,vintage,tp_2016m10,tp_2016m11,tp_2016m12,tp_2017m1,tp_2017m2,tp_2017m3,tp_2017m4,tp_2017m5,tp_2017m6,tp_2017m7,tp_2017m8,tp_2017m9
agriculture,2017m11,4.3,5.9,2.5,1.5,-0.9,-1.7,-1.6,-3.3,5.1,10.7,1.7,3.1
fishing,2017m11,3.4,23.3,40.5,42.2,30.6,37.3,101.0,280.4,52.0,-49.4,-40.5,-30.0
mining,2017m11,15.7,11.6,5.4,14.9,1.4,-2.7,0.0,-0.6,6.1,2.0,3.6,7.1
manufacturing,2017m11,-2.7,4.1,7.2,6.3,-2.8,2.5,-2.1,11.4,2.4,-5.5,-0.9,-2.6
electricity,2017m11,5.6,5.7,4.6,5.8,-2.0,-0.6,-0.8,2.8,3.1,1.4,1.9,1.8
construction,2017m11,-16.5,-8.7,-4.2,-5.3,-6.9,-3.9,-8.0,-3.9,3.1,3.3,4.4,8.9
commerce,2017m11,0.7,0.5,1.3,0.9,0.2,-0.8,-0.6,1.5,1.7,1.2,1.2,1.6
services,2017m11,3.0,3.1,3.1,3.5,2.8,2.5,2.3,3.2,3.1,3.1,3.2,3.3
gdp,2017m11,2.3,3.5,3.4,5.0,0.7,1.0,0.3,3.4,3.6,1.8,2.5,3.2
