target_period,agriculture_2017_1,fishing_2017_1,mining_2017_1,manufacturing_2017_1,electricity_2017_1,construction_2017_1,commerce_2017_1,services_2017_1,gdp_2017_1
2015m12,2.9,82.5,23.1,5.3,9.9,0.5,3.6,5.0,6.6
2016m1,5.6,40.4,8.1,-3.0,8.5,-2.7,2.6,4.9,3.5
2016m2,0.4,-18.9,23.7,-0.3,14.2,5.4,3.4,5.4,6.2
2016m3,-0.3,-19.0,16.2,-4.5,8.4,3.4,2.4,4.7,3.7
2016m4,3.3,-77.1,22.8,-13.2,9.1,1.4,3.1,4.9,2.7
2016m5,0.0,-67.0,33.1,-9.1,7.0,5.6,2.3,4.5,4.8
2016m6,-0.5,-0.4,15.8,-1.5,5.6,-3.8,1.5,4.2,3.5
2016m7,-2.0,103.2,14.1,0.9,6.5,-7.9,1.2,4.2,3.7
2016m8,4.9,65.6,19.1,2.4,6.8,1.1,1.8,4.1,5.6
2016m9,0.5,20.9,14.2,2.6,6.7,-3.8,1.3,3.7,4.1
2016m10,0.9,3.4,15.6,-3.3,5.5,-16.5,0.7,3.2,2.1
2016m11,1.2,23.3,12.3,2.9,5.5,-8.7,0.5,3.5,3.2
