target_period,agriculture_2017_12,fishing_2017_12,mining_2017_12,manufacturing_2017_12,electricity_2017_12,construction_2017_12,commerce_2017_12,services_2017_12,gdp_2017_12
2016m11,5.9,23.3,11.6,4.1,5.7,-8.7,0.5,3.1,3.5
2016m12,2.5,40.5,5.4,7.2,4.6,-4.2,1.3,3.1,3.4
2017m1,1.5,42.2,14.9,6.3,5.8,-5.3,0.9,3.5,5.0
2017m2,-0.9,30.6,1.4,-2.8,-2.0,-6.9,0.2,2.8,0.7
2017m3,-1.7,37.3,-2.7,2.5,-0.6,-3.9,-0.8,2.5,1.0
2017m4,-1.6,101.0,0.0,-2.1,-0.8,-8.0,-0.6,2.3,0.3
2017m5,-3.3,280.4,-0.6,11.4,2.8,-3.9,1.5,3.2,3.4
2017m6,5.1,52.0,6.1,2.4,3.1,3.1,1.7,3.1,3.6
2017m7,10.7,-49.4,2.0,-5.5,1.4,3.3,1.2,3.1,1.8
2017m8,1.7,-40.5,3.6,-0.9,1.9,4.4,1.2,3.2,2.5
2017m9,3.1,-30.0,7.1,-2.6,1.8,8.9,1.6,3.3,3.2
2017m10,-2.5,-12.4,-1.5,1.6,1.0,14.3,1.4,3.9,3.0
