sectores_economicos;economic_sectors;2005_mar;2005_abr;2005_may;2005_jun;2005_jul;2005_ago;2005_set;2005_oct;2005_nov;2005_dic;2005_year;2006_ene;2006_feb;2006_mar;2006_ene_mar
agropecuario;agriculture and livestock;2.9;7;3.3;7.4;5.8;3.7;3.1;6.1;4.5;8.9;5.1;-0.2;1.1;4.7;2
agricola;agriculture;0.8;9.5;2.5;8.8;7.1;0.7;4.7;4.7;-3.6;8;4;-4.3;-1.5;5;0
pecuario;livestock;5.8;2.4;5;4.8;3.9;7;7.3;7.3;13.2;9.8;6.6;4.4;4.1;4.3;4.3
pesca;fishing;9.5;5;3.9;-3.4;-13.4;15.6;-11.1;-11.1;30;-25;1.5;8.4;12.8;38.2;19.8
mineria e hidrocarburos;mining and fuel;2.7;0.1;4.8;11.6;15.8;8.8;11;11;17.8;15.7;8.6;5.6;1.8;7.4;5
mineria;metals;0.2;-2.9;2;9.4;13.8;7;11.4;11.4;19.4;16;7.4;5.6;1.5;9.2;5.4
hidrocarburos;fuel;36.2;39.2;38.5;36.2;37.7;29.8;6.1;6.1;1.7;11.3;23.5;6.7;4.4;-9.5;0.4
manufactura;manufacturing;3.9;7.5;10.5;7.6;4;10.3;6.2;6.2;8.2;2.9;7;4.8;4.2;9.8;6.3
procesadores recursos primarios;based on raw materials;3.6;3.8;8.7;1.5;-2.2;9.5;4.6;4.6;15.6;-4.2;4;2.7;4.3;12.7;6.6
industria no primaria;non primary industries;4;8.5;11.1;9.3;5.6;10.5;6.5;6.5;6.2;4.6;7.6;5.3;4.1;9.2;6.2
electricidad y agua;electricity and water;4.1;5.5;6.6;4.8;5.3;6.1;5.8;5.8;5.2;5.6;5.3;6.4;6.7;7;6.7
construcción;construction;-0.2;10.6;8;3.6;10.2;10.8;11.7;11.7;13.3;14;8.7;14.1;14.8;20.1;16.3
comercio;commerce;6.1;9.8;8.2;5.4;6.3;7.4;6.9;6.9;5.6;4.4;7.2;3.1;8;15.6;9
otros servicios;other services;5.6;3.3;6.5;5.4;3.5;5.3;7.5;7.5;6.4;8.6;6.2;5.1;5.1;8.6;6.3
valor agregado bruto;gross aggreagated value;4.6;5.6;7;6.2;5.3;6.9;7.5;-1.7;7.9;7.7;6.7;4.9;5.4;10.2;6.9
impuestos a los productos y derechos de importación;taxes on products and import duties;10.8;10.8;6;-1.5;5.5;12.7;-1.7;11.5;12.1;1.5;6.4;9.9;3.8;14.7;9.6
pbi;gdp;5.1;6.1;6.9;5.5;5.3;7.5;6.5;7.8;8.3;7;6.6;5.4;5.3;10.7;7.2
