sectores_economicos;economic_sectors;2004_dic;2004_year;2005_ene;2005_feb;2005_mar;2005_abr;2005_may;2005_jun;2005_jul;2005_ago;2005_set;2005_oct;2005_nov;2005_dic;2005_year
agropecuario;agriculture and livestock;3.4;-1.1;0.7;3;2.7;6.8;2.9;7;5.4;3.5;5.7;6.4;3.7;7.9;4.7
agricola;agriculture;1.5;-3.2;-1.8;2;0.3;9.2;2;8.2;6.4;0.2;3.9;0.1;-5.2;5.8;3.2
pecuario;livestock;5.2;2;3.6;4.2;5.8;2.4;5;4.8;3.9;7;7.3;12.8;13.2;9.8;6.6
pesca;fishing;40.9;30.5;11.3;21.7;14.5;5;3.9;-3.4;-13.4;15.6;-11.1;-27;30;-25;2
mineria e hidrocarburos;mining and fuel;7.7;5.4;0.1;-0.2;2.8;0.1;4.8;11.6;15.9;8.9;11.1;15.4;17.8;15.6;8.6
mineria;metals;7.2;5.3;-2.2;-2.8;0.2;-2.9;2;9.4;13.8;7;11.4;16.9;19.4;16;7.4
hidrocarburos;fuel;17.5;7.1;30.1;36.3;36.2;39.2;38.5;36.2;37.7;29.8;6.1;0.7;1.7;11.3;23.5
manufactura;manufacturing;10.1;6.7;7.6;10.5;3.8;7.5;10.4;7.5;3.9;10.5;6.7;4.9;8.3;2.7;7
procesadores recursos primarios;based on raw materials;8.7;5.9;1.7;9.5;3.5;3.7;8.7;1.5;-2.2;9.6;4.6;-4.1;15.6;-4.2;4
industria no primaria;non primary industries;10.5;6.9;8.9;10.7;3.9;8.4;11;9.2;5.5;10.7;7.1;7;6.3;4.3;7.7
electricidad y agua;electricity and water;6.8;4.6;5.5;1.8;4.1;5.5;6.6;4.8;5.3;6.1;5.8;7.5;5.2;5.5;5.3
construcción;construction;7.9;4.7;4.6;3.9;-0.2;10.6;8;3.6;10.2;10.8;11.7;12.5;13.3;14;8.7
comercio;commerce;9.7;4.8;9.2;8.9;5.2;8.8;7.6;4.4;6.2;5.5;4.9;6.5;3.6;3.1;6.2
otros servicios;other services;9.3;4.7;7.5;10.6;5.5;4.2;7.3;5.7;3.5;6;7.4;6.6;6.6;10.3;6.8
valor agregado bruto;gross aggreagated value;8.9;4.6;6.4;8.2;4.4;5.8;7.1;6.1;5.2;7;7.2;7.2;7.6;8.1;6.7
impuestos a los productos y derechos de importación;taxes on products and import duties;6.9;6.4;8.1;2.7;10.8;10.8;6;-1.5;5.5;12.7;-1.7;11.5;12.1;1.5;6.4
pbi;gdp;8.7;4.8;6.5;7.7;5;6.3;7;5.4;5.3;7.6;6.2;7.6;8;7.4;6.7
vab sectores primarios;primary sectors;6.9;3.1;0.9;3.1;3.1;4.1;4.4;7.1;6.8;6.8;7.4;7.4;12.3;7.6;5.9
vab sectores no primarios;non primary sectors;9.4;5.1;7.8;9.5;4.7;6.3;8;5.9;4.8;7;7.1;7.1;6.4;8.2;6.9
pbi desestacionalizado;seasonally adjusted gdp;0.9;;0.4;1.3;-1.5;0.5;-0.2;-0.1;2.2;0.7;-0.1;0.7;2.8;1.5;
demanda interna;domestic demand;7.6;3.9;4.8;7.1;2.7;5.5;7;2.4;5.7;7.5;6.1;8.1;6.9;5.1;5.7
demanda interna desestacionalizada;seasonally adjusted domestic demand;0.6;;-1.4;1.5;-1.8;2.9;-1.2;0.7;3.8;-1.1;0.2;0.4;2.4;0.5;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
