sectores_economicos;economic_sectors;2005_jul;2005_ago;2005_set;2005_oct;2005_nov;2005_dic;2005_year;2006_ene;2006_feb;2006_mar;2006_abr;2006_may;2006_jun;2006_jul;2006_ene_jul
agropecuario;agriculture and livestock;5.8;3.3;5.8;6.2;3.4;8.6;4.8;0.2;1.4;5.4;8.8;2.3;0.4;7.9;3.9
agricola;agriculture;7.1;0.7;4.7;1.5;-3.6;8;4;-3.6;-0.9;6.2;10.4;0.6;-2.7;8.2;2.8
pecuario;livestock;3.9;7;7.3;12.6;13.2;9.8;6.6;4.4;4;4.3;5.6;6;6.2;7.5;5.5
pesca;fishing;-13.4;12.8;-11.8;-26.5;28.3;-24.7;1.2;14.7;11.4;57.6;-24.1;-23.8;-6.2;-5.4;-2.7
mineria e hidrocarburos;mining and fuel;14.5;8.1;10.4;14.9;17.1;15.1;8.1;5.8;1.9;9.7;8.1;9.2;5.1;1.7;5.9
mineria;metals;13.8;6.9;11.5;16.9;19.6;16.1;7.4;6;1.6;10.2;9.1;10.7;4.8;1.1;6.2
hidrocarburos;fuel;37.5;29.6;6;0.7;1.7;11.3;23.4;6.7;4.4;-9.5;-0.7;2.6;5.9;6.9;2.4
manufactura;manufacturing;4.6;9.5;4.7;2.9;7.6;3;6.5;5.1;4.6;10.6;-1.1;2.8;6.5;5.6;4.8
procesadores recursos primarios;based on raw materials;-4.3;7.6;0.5;-7;15.9;-5.1;2.1;2.5;5;14.5;-8.6;-6.9;5.6;-5.5;0.3
industria no primaria;non primary industries;7.5;9.9;5.7;5.5;5.1;5.2;7.7;5.6;4.5;9.8;0.8;5.5;6.8;8.3;5.9
electricidad y agua;electricity and water;5.1;6;5.8;7.8;5.2;6;5.3;6.4;6.7;7;2.8;4.1;6.5;8.5;6
construcción;construction;9.8;10.5;11.5;12.4;13.3;14.1;8.4;14.1;14.8;20.1;4.8;19.2;16;11.6;14.3
comercio;commerce;3.8;5;4.6;5.8;3.7;2.8;5.2;4.6;8.5;17.9;7.7;6.2;8.3;13.4;9.3
otros servicios;other services;3.7;5.9;8.1;7.6;7.5;9.5;6.3;5.6;5.5;9.4;4.5;9;7.3;9.6;7.3
valor agregado bruto;gross aggreagated value;5;6.6;7.1;7.1;7.9;7.7;6.2;5.4;5.7;11.4;4.6;6.7;6.7;8.7;7
impuestos a los productos y derechos de importación;taxes on products and import duties;7.6;14.8;-0.2;13.3;13.7;2.5;8.5;5.9;-1.1;10.5;-0.6;9;9.1;11.9;6.4
pbi;gdp;5.2;7.4;6.3;7.7;8.3;7.2;6.4;5.5;5.1;11.3;4.1;6.9;6.9;9;7
vab sectores primarios;primary sectors;6;6;6.3;6.2;11.9;7.2;5.4;3.1;2.4;9.6;4.5;1.5;2.4;3.1;3.7
vab sectores no primarios;non primary sectors;4.7;6.8;7.2;7.3;6.7;7.9;6.5;6;6.6;11.8;4.7;8.3;7.9;10.3;7.9
pbi desestacionalizado;seasonally adjusted gdp;0.3;0;1;0.4;2.7;2.2;;-4.7;0.4;4.3;-1.2;1.2;0.6;0.8;
demanda interna;domestic demand;5.3;7;5.9;8.9;7.9;4.9;5.5;8.8;7.1;15.2;2.5;9.5;9.9;9.9;8.8
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.8;-1.4;0.6;1.3;2.7;0;;-1.3;0;4.1;-2;3.7;0.3;-0.4;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
