sectores_economicos;economic_sectors;2003_may;2003_jun;2003_jul;2003_ago;2003_set;2003_oct;2003_nov;2003_dic;2003_year;2004_ene;2004_feb;2004_mar;2004_abr;2004_may;2004_ene_may;
agropecuario;agriculture and livestock;0.2;6.8;3.8;2;0.6;1.7;-1.4;-1.1;2.2;4.3;1.1;-0.1;5.3;-1.6;-0.9;
agricola;agriculture;-0.8;8.6;3;2.5;-0.3;1.5;-2.6;-4.1;1.8;3.8;0.4;1.8;-8.8;-3.3;-2.9;
pecuario;livestock;3.2;3.1;5.5;2;1.8;2.2;0;1.8;3;5;1.9;2.2;1.6;2.4;2.6;
pesca;fishing;-23.7;-31.2;-26.3;12;-1.4;27.2;0;-43.6;-13.4;12;-6.9;14;8.7;41.5;16.4;
mineria e hidrocarburos;mining and fuel;14;10.2;11.9;1.3;10;4.9;5;2.6;6.7;11.4;17.4;8.6;10.5;0.4;9.5;
mineria;metals;15.8;11.2;13.5;2.3;11.7;5.6;5.8;2.9;7.8;12.7;19.3;10.2;12.5;0.9;10.9;
hidrocarburos;fuel;-3.1;0.2;-4;-10.3;-7.5;-3.7;-4.1;-1.5;-4.5;-3.4;-4.1;-8.7;-6.3;-5.2;-5.6;
manufactura;manufacturing;-0.3;3.9;1.4;2;2.6;1.3;0.1;-2;2.2;3.8;3.2;7.8;5.6;6.5;5.4;
procesadores recursos primarios;based on raw materials;-6.4;-10.3;-7.8;3.6;2.7;4.9;-2.4;-16;-2.8;5.9;-4.7;0.1;-2.5;11.8;2.4;
industria no primaria;non primary industries;1.6;8.2;4;1.7;2.6;0.4;0.9;2.4;3.6;3.3;4.9;9.6;8;5;6.1;
electricidad y agua;electricity and water;3.6;6.4;5.9;5;2.5;3.6;4.2;3;4.2;3.3;6.4;4.4;5.3;3.9;4.6;
construcción;construction;4.4;10.5;2;4.4;3.5;7.2;-0.1;5.3;4.8;6.7;5;9.8;2.4;3.3;5.5;
comercio;commerce;-1.3;7.5;3;3.9;2.8;3.4;-1.2;0.2;3.6;2;1.3;3.2;2;2.3;2.2;
otros servicios;other services;2.9;4.7;4.3;2.5;2.8;6.5;0.9;7;4.5;3;4.2;7.3;3.6;3.8;4.4;
valor agregado bruto;gross aggreagated value;1.8;5.7;3.8;2.7;3.2;4.7;0.6;3;3.8;4;4.2;6.2;3.1;3.2;4.1;
impuestos a los productos y derechos de importación;taxes on products and import duties;0.6;11.7;1.5;8.2;7.6;4.4;2.7;5.2;6.3;0.3;8.7;-0.7;5.6;14.5;5.5;
pbi;gdp;1.7;6.2;3.6;3.2;3.6;4.6;0.8;3.2;4.1;3.6;4.6;5.5;3.3;4.2;4.2;
vab sectores primarios;primary sectors;1.8;3.9;3.7;2.1;4.6;4;0.8;-4.2;2.5;7.4;5.9;3.2;0.1;2;3.4;
vab sectores no primarios;non primary sectors;1.8;6.3;3.9;2.9;2.8;4.8;0.5;4.8;4.2;3.1;3.8;6.9;3.9;3.6;4.3;
pbi desestacionalizado;seasonally adjusted gdp;-1.5;1.2;0;-0.1;0.5;0.3;-0.7;1.2;;1.3;1.2;1;-0.9;-0.7;;
demanda interna;domestic demand;-0.2;7.7;3.4;3.7;4;4.4;-0.1;2.2;3.6;2.1;3.1;3.4;4.6;5;3.7;
demanda interna desestacionalizada;seasonally adjusted domestic demand;-2.2;1.7;1;-1;0.2;0.6;-1.1;0.6;;1.2;-0.1;2.1;1.7;-1.7;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
