sectores_economicos;economic_sectors;2003_feb;2003_mar;2003_abr;2003_may;2003_jun;2003_jul;2003_ago;2003_set;2003_oct;2003_nov;2003_dic;2003_year;2004_ene;2004_feb;2004_ene_feb
agropecuario;agriculture and livestock;1.6;0.2;4.9;0.3;6.8;4;2.3;0.8;1.8;-1.3;-1.2;2.3;3.5;0.8;2.1
agricola;agriculture;0.6;-2.3;4.8;-0.8;8.6;3;2.5;-0.3;1.5;-2.6;-4.1;1.8;2.6;-0.3;1.2
pecuario;livestock;2.7;3.7;5.1;3.2;3.1;5.5;2;1.8;2.2;0;1.8;3;4.5;2;3.2
pesca;fishing;8.5;-25.5;10.8;-23.7;-31.2;-26.3;12;-1.4;27.2;0;-43.6;-13.4;12;-6.9;2.8
mineria e hidrocarburos;mining and fuel;9.9;1.4;8.2;14;10.3;11.9;1.2;10;4.8;5;2.6;6.7;11.4;17.4;14.3
mineria;metals;11.7;2;9.1;15.8;11.2;13.5;2.3;11.7;5.6;5.8;2.9;7.8;12.7;19.3;15.8
hidrocarburos;fuel;-6.9;-4;-0.8;-3.1;0.2;-4;-10.3;-7.5;-3.7;-4.1;-1.5;-4.5;-3.4;-4.1;-3.7
manufactura;manufacturing;7.4;6.4;-0.4;-0.4;3.8;1.2;1.8;2.5;1.1;0.3;-1.9;2.1;2.8;2.2;2.5
procesadores recursos primarios;based on raw materials;4.2;-4.3;9.6;-6.4;-10.3;-7.8;3.6;2.7;4.9;-2.4;-16;-2.8;5.7;-4.7;0.7
industria no primaria;non primary industries;8.2;9.3;-3.2;1.4;8.1;3.7;1.4;2.4;0.2;1.1;2.4;3.4;2.2;3.7;3
electricidad y agua;electricity and water;6;4;2.1;3.6;6.4;5.9;5.1;2.5;3.6;4.2;2.8;4.2;3.1;6.5;4.7
construcción;construction;6.2;12.3;5.1;3.5;10.4;1.2;3.8;2.8;6.4;-1;4.2;4;7.5;4.8;6.2
comercio;commerce;6.2;9.3;2.8;-1.3;7.5;3;3.8;2.7;3.3;-1.2;0.1;3.6;1.1;0.3;0.7
otros servicios;other services;5.8;5.7;4.2;2.9;4.7;4.2;2.3;2.8;6.4;0.9;6.8;4.4;2.2;3.5;2.9
valor agregado bruto;gross aggreagated value;6;5.6;3.6;1.8;5.6;3.8;2.6;3.1;4.6;0.6;2.9;3.7;3.3;3.6;3.5
impuestos a los productos y derechos de importación;taxes on products and import duties;11;16;1.1;0.6;11.7;1.5;8.2;7.6;4.4;2.7;5.3;6.3;0.5;8.6;4.3
