target_period,agriculture_2020_2,fishing_2020_2,mining_2020_2,manufacturing_2020_2,electricity_2020_2,construction_2020_2,commerce_2020_2,services_2020_2,gdp_2020_2
2017,2.8,4.7,3.4,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,7.0,13.8,0.2,0.5,2.3,4.5,2.7,4.1,3.1
2018q2,11.3,34.2,-0.8,10.7,5.0,7.0,3.2,5.2,5.6
2018q3,6.7,16.1,-3.0,1.9,3.9,1.1,2.2,3.9,2.5
2018q4,4.9,168.1,-2.2,10.3,6.3,8.1,2.5,4.3,4.6
2018,7.8,47.7,-1.5,5.9,4.4,5.3,2.6,4.4,4.0
2019q1,4.9,-25.9,-0.5,-1.0,5.9,2.3,2.4,4.0,2.4
2019q2,1.9,-32.7,-2.3,-6.9,3.8,7.5,2.7,3.8,1.2
2019q3,1.3,11.7,0.3,4.0,3.6,3.3,3.3,4.0,3.2
2019q4,5.3,-30.7,2.1,-2.3,2.4,-4.6,3.6,3.4,1.8
2019,3.2,-25.9,0.0,-1.7,3.9,1.5,3.0,3.8,2.2
