target_period,agriculture_2020_9,fishing_2020_9,mining_2020_9,manufacturing_2020_9,electricity_2020_9,construction_2020_9,commerce_2020_9,services_2020_9,gdp_2020_9
2018q1,7.0,13.8,0.2,0.5,2.3,4.5,2.7,4.1,3.1
2018q2,11.3,34.2,-0.8,10.7,5.0,7.0,3.2,5.2,5.6
2018q3,6.7,16.1,-3.0,1.9,3.9,1.1,2.2,3.9,2.5
2018q4,4.9,168.1,-2.2,10.3,6.3,8.1,2.5,4.3,4.6
2018,7.8,47.7,-1.5,5.9,4.4,5.3,2.6,4.4,4.0
2019q1,5.3,-25.9,-0.5,-1.0,5.9,2.3,2.4,4.0,2.5
2019q2,2.1,-32.7,-2.3,-6.9,3.8,7.5,2.7,3.7,1.2
2019q3,1.0,11.7,0.3,4.0,3.6,3.3,3.3,4.0,3.2
2019q4,6.1,-30.7,2.1,-2.3,2.4,-4.6,3.6,3.4,1.8
2019,3.4,-25.9,0.0,-1.7,3.9,1.5,3.0,3.8,2.2
2020q1,3.6,-15.3,-5.2,-9.6,-2.1,-12.9,-6.1,-0.8,-3.5
2020q2,1.0,-15.7,-34.3,-34.0,-19.4,-67.0,-47.5,-25.5,-30.2
