industry,vintage,tp_1997m1,tp_1997m2,tp_1997m3,tp_1997m4,tp_1997m5,tp_1997m6,tp_1997m7,tp_1997m8,tp_1997m9,tp_1997m10,tp_1997m11,tp_1997m12,tp_1998m1,tp_1998m2
agriculture,1998m4,23.4,16.1,14.6,7.0,8.3,-1.9,-2.3,-9.2,0.2,2.9,4.7,9.9,-1.7,2.7
fishing,1998m4,-18.9,-20.0,31.2,45.3,29.0,-11.4,-1.3,33.6,37.0,43.1,-51.9,-73.7,-78.0,-46.7
mining,1998m4,3.6,5.4,6.0,8.3,9.2,5.1,2.1,8.1,7.6,3.9,5.6,5.0,5.8,3.3
manufacturing,1998m4,3.4,0.1,5.5,20.4,7.5,9.6,5.6,6.9,12.0,13.8,-0.8,-3.1,-2.4,0.4
construction,1998m4,10.7,15.3,3.1,22.5,16.4,34.6,37.6,15.1,35.7,24.6,20.2,20.1,8.2,0.7
commerce,1998m4,6.2,3.2,5.6,17.6,5.3,5.8,4.3,7.6,12.7,8.3,4.4,7.4,-0.1,1.8
services,1998m4,3.6,3.5,3.8,9.2,4.9,8.7,6.2,7.6,9.2,5.4,5.9,5.4,2.0,3.1
gdp,1998m4,5.9,5.0,6.0,14.0,7.7,7.8,6.6,6.1,11.7,9.4,4.2,4.0,0.2,1.7
