industry,vintage,tp_1997m1,tp_1997m2,tp_1997m3,tp_1997m4,tp_1997m5,tp_1997m6,tp_1997m7,tp_1997m8,tp_1997m9,tp_1997m10,tp_1997m11,tp_1997m12,tp_1998m1,tp_1998m2,tp_1998m3,tp_1998m4,tp_1998m5
agriculture,1998m7,22.4,15.9,14.0,6.9,8.0,-1.4,-2.1,-8.9,-0.5,3.3,5.5,10.3,-1.0,2.8,5.4,2.0,-2.9
fishing,1998m7,-18.9,-20.1,30.9,45.3,28.9,-11.4,-1.3,33.5,36.6,43.0,-51.9,-73.7,-78.0,-46.7,-58.4,-79.3,-63.5
mining,1998m7,3.0,5.3,5.6,8.1,8.8,5.0,2.0,8.9,8.3,4.3,6.1,4.4,6.4,4.5,-1.1,-1.4,-3.9
manufacturing,1998m7,3.8,-0.2,4.1,17.5,7.7,9.1,5.4,5.7,10.6,14.2,-0.6,-3.2,-2.3,1.0,2.9,-13.8,-10.3
construction,1998m7,9.7,15.2,2.5,22.4,10.5,19.1,20.1,14.3,36.5,28.6,22.6,23.7,10.3,2.4,13.2,3.0,4.0
commerce,1998m7,6.4,4.4,5.1,14.1,4.9,9.5,6.3,7.5,11.6,8.1,5.7,7.9,-0.1,2.4,3.2,-2.3,-1.3
services,1998m7,5.4,4.1,4.1,11.4,5.5,6.5,5.3,6.9,10.9,7.8,5.3,5.6,2.1,3.3,4.0,1.3,1.7
gdp,1998m7,6.3,5.3,5.5,13.4,7.3,6.4,5.1,5.6,11.8,10.7,4.6,4.5,0.5,2.3,3.6,-4.1,-3.3
