sectores_economicos;economic_sectors;2007_oct;2007_nov;2007_dic;2007_year;2008_ene;2008_feb;2008_mar;2008_abr;2008_may;2008_jun;2008_jul;2008_ago;2008_set;2008_oct;2008_ene_oct
agropecuario;agriculture and livestock;3.7;3.2;8;3.3;6.8;2.6;1.8;6.2;3.3;10.9;8.5;8.4;4.7;6.8;6
agricola;agriculture;4.5;5.8;11.1;2;8.7;3.5;1.9;6.6;2.7;12.4;8.6;11.2;4.2;6.9;6.6
pecuario;livestock;3;1.1;4.6;5.3;4.5;1.4;1.7;5.4;4.6;7.7;8.4;6.2;5.1;6.8;5.1
pesca;fishing;-1.8;16.9;-1.1;6.9;13.5;0.8;2.1;32.4;-20.6;6;-3.9;10.6;23.8;16;5.7
mineria e hidrocarburos;mining and fuel;8.4;2.2;12.9;2.7;2.8;14.6;2.2;7.6;9.8;12.7;5.7;11.4;5.4;4.6;7.5
mineria;metals;6.6;0.7;12.8;1.7;3.7;15;2.3;7.3;11;13.6;5.4;11.5;4.7;2.7;7.6
hidrocarburos;fuel;15;5.8;8.6;6.5;-4.8;10.6;1.3;10.3;0.2;4.8;7.9;10.1;11.9;21.3;7.4
manufactura;manufacturing;14.7;12.7;8.3;10.8;8.8;14.2;7;18.1;5.2;7.7;7.2;5.9;9;4.5;8.6
procesadores recursos primarios;based on raw materials;-3.7;2.5;-0.7;0.7;3.5;16.2;16.7;18.2;-8.1;4.4;2.2;-6.9;9.2;13;6.2
industria no primaria;non primary industries;17.7;14;8.3;13;9.9;13.8;5.3;18;8.2;8.4;8.1;8;9;3.2;9
electricidad y agua;electricity and water;8;8.1;7.8;8.5;7.8;13;7.4;9.4;7;9.1;7.3;8.9;10.2;7.8;8.7
construcción;construction;20;13.1;24.6;16.6;21;22.5;13.2;33.8;14.3;16.4;18.2;10.3;19.7;11.9;17.7
comercio;commerce;12.3;8.4;8.4;9.7;14.4;12.9;7.7;13.6;10.6;20.3;10.1;12.9;16.3;13.3;13.1
otros servicios;other services;9.4;8.3;9.7;8.9;10.3;12.4;6;12.7;7.6;11;9.4;8.9;8.4;9.2;9.6
pbi;gdp;10.7;8.6;10.1;8.9;10.5;12.6;6.2;13.7;7.5;12.1;9.2;9.2;9.9;8.7;9.9
sectores primarios;primary sectors;4;3.2;7.7;2.7;4.9;8.9;4.3;9.2;2.1;10.1;6.2;7;6;7.2;6.6
sectores no primarios;non primary sectors;12;9.7;10.5;10.2;11.7;13.3;6.6;14.8;8.8;12.6;9.9;9.7;10.7;9;10.7
pbi desestacionalizado;seasonally adjusted gdp;0;0.3;2.1;;0.4;1.3;1;-0.6;1.7;0.8;0.5;0.2;-0.1;1.2;
