sectores_economicos;economic_sectors;2007_jul;2007_ago;2007_set;2007_oct;2007_nov;2007_dic;2007_year;2008_ene;2008_feb;2008_mar;2008_abr;2008_may;2008_jun;2008_jul;2008_ene_jul
agropecuario;agriculture and livestock;-4.7;-2.4;3.9;3.7;3.2;8;3.3;6.3;3.2;1.7;6;3.2;10.8;6.2;5.4
agricola;agriculture;-8.7;-6.6;4.5;4.5;5.8;11.1;2;8.1;4.5;2.2;6.6;3.2;13.1;6.1;6.3
pecuario;livestock;2.7;2.7;2.9;3;1.1;4.6;5.3;4.1;1.6;0.9;4.7;3.3;6;6.5;3.9
pesca;fishing;-0.7;-5.4;-11.2;-1.8;16.9;-1.1;6.9;13.5;0.3;1.5;31.8;-21.1;0.7;-7.1;1.6
mineria e hidrocarburos;mining and fuel;2.7;4.2;8.9;8.4;2.2;12.9;2.7;2.7;14.6;2;7.3;9.7;12.5;5.7;7.7
mineria;metals;3.3;4.4;8.9;6.6;0.7;12.8;1.7;3.6;15.1;2.1;7;10.8;13.5;5.4;8.1
hidrocarburos;fuel;2.3;-4.1;3.9;15;5.8;8.6;6.5;-5.7;9.5;0;9.4;-1.1;3.4;7.9;3.2
manufactura;manufacturing;12.8;7.9;10.3;14.7;12.7;8.3;10.8;9.7;14.2;6.8;17.9;5;7.5;7;9.5
procesadores recursos primarios;based on raw materials;0.5;-3.8;-4.9;-3.7;2.6;-2.1;0.4;7.3;16;16.3;17.8;-8.6;3.9;1.3;6.8
industria no primaria;non primary industries;17.2;9.3;12.6;17.7;14;8.3;13;10.1;13.8;5.2;17.9;8.1;8.3;8;10.1
electricidad y agua;electricity and water;10.4;7.6;6.5;8;8.1;7.8;8.5;7.8;13;7.4;9.4;7;8.9;7.3;8.6
construcción;construction;25.2;14.7;14.8;20;13.1;24.6;16.6;21;22.5;13.1;33.9;14.3;16.4;18.1;19.6
comercio;commerce;13;8.6;12.9;12.3;8.4;8.4;9.7;14.5;13.1;7.4;13.5;10.5;18.9;9.6;12.4
otros servicios;other services;9.5;7.6;11.4;9.7;10;11.6;8.9;10.4;12.5;6;13.5;7.7;10.3;8.1;9.7
pbi;gdp;9.5;7.2;10.1;10.7;8.6;10.1;8.9;10.7;12.7;6.1;14;7.5;11.5;8.3;10.1
sectores primarios;primary sectors;-1.3;-0.3;3.9;4;3.2;7.4;2.7;5.4;9.2;4.1;9;2;9.7;4.9;6.3
sectores no primarios;non primary sectors;12;8.7;11.4;12;9.7;10.6;10.2;11.7;13.4;6.6;15.2;8.8;11.9;9;10.9
pbi desestacionalizado;seasonally adjusted gdp;0.8;0.6;2.4;0;0.3;2.1;;0.4;1.4;0.8;-0.3;1.4;0.3;0.2;
demanda interna;domestic demand;15.1;11.5;13.6;12.6;11;11.4;11.8;11.3;13.6;9;15.9;8.5;17.6;12.9;12.6
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.2;2.2;0.6;1.1;0;1.7;;1.7;1.5;1.8;-0.6;2.1;1.5;0.3;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
