sectores_economicos;economic_sectors;2007_ene;2007_feb;2007_mar;2007_abr;2007_may;2007_jun;2007_jul;2007_ago;2007_set;2007_oct;2007_nov;2007_dic;2007_year;2008_ene
agropecuario;agriculture and livestock;10.2;8.9;6.3;-0.9;4.3;3.2;-4.5;-3;2.9;3.2;3.7;7.4;3.1;3.9
agricola;agriculture;9.8;8.6;3.9;-3;4.4;2.5;-8.3;-7;3.9;3.6;5.3;9.7;2.1;4.2
pecuario;livestock;10.6;9.3;9.8;4.3;4.1;4.5;1.8;2.2;1.8;2.6;1.9;4.9;4.7;3.5
pesca;fishing;22.4;27.2;3.9;9.2;12.4;-3.4;-1;1;-10.5;0.4;16.4;-0.8;6.9;1.5
mineria e hidrocarburos;mining and fuel;-4.5;-2.8;2.4;-1.1;-0.5;-4.1;2;3.4;8.3;8;1.8;12.4;2.1;2.8
mineria;metals;-5.6;-3.7;1.1;-1.7;-1.9;-5;3.3;4.4;8.9;6.6;0.7;12.8;1.7;3.7
hidrocarburos;fuel;10.4;5.2;16.6;5.1;9.2;3.2;2.3;-4.1;3.9;15;5.8;8.6;6.5;-4.8
manufactura;manufacturing;12.3;7.8;7.5;10.6;13.1;12.7;14.2;7.1;9.9;14.3;11.4;6.5;10.6;10
procesadores recursos primarios;based on raw materials;8.7;-1.8;-9.3;1.6;5.8;1.8;-0.2;-4.2;-5.5;-4.1;1.7;-1.6;-0.5;5.5
industria no primaria;non primary industries;13;9.6;11;12.6;14.9;15.3;17.1;9.3;12.8;17.8;13.5;8.4;12.9;10.8
electricidad y agua;electricity and water;8.2;7.7;8.4;9.8;9.5;9.7;10.3;7.4;6.4;7.8;7.9;7.6;8.4;7.8
construcción;construction;11;5.2;10.5;12.9;24.5;22.1;25.1;14.5;14.7;19.9;13;24.5;16.5;21
comercio;commerce;16.2;14.1;9.2;7.8;8.3;5.2;13.8;10;13.4;13.1;8.9;8.6;10.5;12.9
otros servicios;other services;9.9;9.1;7.4;10.3;9.1;9;9.1;7.7;9.8;9.5;8.4;10;9.1;10
pbi;gdp;10.3;8.7;7.5;8.1;9.2;8.2;9.6;7.2;9.9;10.7;8.5;9.9;9;10.1
sectores primarios;primary sectors;4.7;3.4;2.1;-0.3;3.5;0.5;-1.5;-0.8;3.1;3.6;3;7.1;2.3;3.7
sectores no primarios;non primary sectors;12;9.8;9.1;10.6;10.6;10.1;12.4;9.4;11.9;12.4;10.1;11.1;10.8;11.5
pbi desestacionalizado;seasonally adjusted gdp;-0.3;0.8;1.8;-2;0.7;1.3;0;0.2;5;-0.8;-1.3;1.9;;2.2
demanda interna;domestic demand;14.8;11.5;8.3;12.4;11.4;9.1;14.9;11.1;13;12.2;10.6;11;11.6;10.7
