target_period,agriculture_2019_10,fishing_2019_10,mining_2019_10,manufacturing_2019_10,electricity_2019_10,construction_2019_10,commerce_2019_10,services_2019_10,gdp_2019_10
2018m8,8.3,26.0,-4.1,2.1,3.3,0.5,2.5,4.4,2.3
2018m9,7.3,19.7,0.6,1.1,3.8,-1.8,1.4,4.2,2.4
2018m10,8.2,22.7,-2.6,9.8,5.1,9.1,2.6,3.2,4.1
2018m11,5.9,188.5,-2.8,12.1,6.5,11.6,2.4,4.9,5.2
2018m12,3.1,225.9,-1.4,12.4,7.5,5.0,2.5,4.3,4.7
2019m1,4.6,-31.3,-1.3,-5.4,5.3,-0.4,2.5,4.0,1.6
2019m2,5.3,-9.5,-0.5,-1.3,5.9,0.6,1.8,4.1,2.1
2019m3,5.6,-7.4,0.3,3.7,6.7,6.0,3.0,3.9,3.3
2019m4,4.6,-63.0,-2.6,-13.2,3.9,9.3,3.0,3.8,0.2
2019m5,2.0,-26.8,-1.4,-6.8,4.2,-0.1,2.3,4.0,0.7
2019m6,0.0,14.2,-3.0,0.5,3.4,13.6,2.7,3.9,2.6
2019m7,-1.1,52.3,0.3,6.3,4.2,0.8,3.2,3.9,3.3
2019m8,2.1,2.3,4.1,1.7,3.9,4.5,3.1,4.1,3.4
