target_period,agriculture_2019_12,fishing_2019_12,mining_2019_12,manufacturing_2019_12,electricity_2019_12,construction_2019_12,commerce_2019_12,services_2019_12,gdp_2019_12
2018m10,8.2,22.7,-2.6,6.3,5.1,9.1,2.6,4.3,4.1
2018m11,5.8,188.5,-2.8,12.2,6.5,11.6,2.4,4.9,5.2
2018m12,3.1,225.9,-1.4,12.3,7.4,5.0,2.5,4.4,4.8
2019m1,4.8,-31.3,-1.3,-5.3,5.3,-0.4,2.5,4.1,1.7
2019m2,5.5,-9.5,-0.5,-1.4,5.7,0.6,1.8,4.2,2.1
2019m3,5.6,-7.4,0.3,4.0,6.7,6.0,3.0,4.0,3.3
2019m4,4.7,-63.0,-2.6,-13.2,3.8,9.3,3.0,3.8,0.2
2019m5,2.7,-26.8,-1.4,-6.9,4.1,-0.1,2.3,4.2,0.8
2019m6,0.5,14.2,-3.0,0.5,3.5,13.2,2.7,4.0,2.6
2019m7,-1.3,52.3,0.3,6.4,4.2,0.4,3.2,4.0,3.3
2019m8,2.6,2.3,4.1,1.7,3.9,4.5,3.1,4.1,3.4
2019m9,0.9,14.3,-3.4,1.4,2.8,3.8,3.4,3.8,2.2
2019m10,4.2,-0.7,0.7,-1.1,2.6,1.2,3.5,3.7,2.1
