target_period,agriculture_2019_7,fishing_2019_7,mining_2019_7,manufacturing_2019_7,electricity_2019_7,construction_2019_7,commerce_2019_7,services_2019_7,gdp_2019_7
2018m4,11.9,81.2,1.0,21.0,6.5,10.1,4.9,5.2,7.8
2018m5,16.2,26.7,2.1,10.6,4.4,10.0,3.3,5.2,6.6
2018m6,4.6,-7.9,-4.6,1.6,4.2,2.4,1.6,4.3,2.0
2018m7,4.6,-17.3,-5.2,2.1,4.6,5.3,2.7,4.4,2.6
2018m8,8.3,26.0,-3.9,2.1,3.3,0.3,2.5,4.5,2.4
2018m9,7.3,19.7,0.8,1.1,3.8,-1.9,1.4,3.9,2.3
2018m10,8.2,22.7,-2.4,9.8,5.1,9.0,2.6,4.3,4.6
2018m11,5.9,188.5,-2.5,12.1,6.5,11.8,2.4,4.8,5.2
2018m12,3.1,225.9,-1.2,12.4,7.5,4.6,2.5,4.3,4.7
2019m1,4.5,-31.3,-1.3,-5.4,5.3,-1.1,2.5,3.9,1.6
2019m2,4.9,-9.5,-0.7,-1.3,5.9,0.5,1.8,4.1,2.0
2019m3,5.3,-7.4,0.1,3.7,6.7,5.8,3.0,3.9,3.2
2019m4,3.0,-63.0,-2.9,-13.2,3.8,8.7,3.0,3.8,0.0
