target_period,agriculture_2019_3,fishing_2019_3,manufacturing_2019_3,electricity_2019_3,construction_2019_3,commerce_2019_3,services_2019_3,gdp_2019_3
2018m1,5.2,12.4,-0.1,0.2,8.6,2.4,4.3,2.9
2018m2,6.2,5.1,-0.2,2.1,6.7,2.6,4.0,2.7
2018m3,10.0,-4.9,1.8,4.7,0.1,3.1,4.4,3.9
2018m4,11.5,81.2,21.0,6.5,10.1,4.9,5.3,7.8
2018m5,16.3,26.7,10.6,4.4,10.0,3.3,5.1,6.6
2018m6,4.1,-7.9,1.6,4.2,2.4,1.6,4.4,2.0
2018m7,4.4,-17.3,2.0,4.6,5.3,2.7,4.4,2.6
2018m8,8.7,26.0,2.0,3.3,0.3,2.5,4.5,2.4
2018m9,5.5,19.7,1.1,3.8,-1.9,1.4,4.1,2.3
2018m10,7.8,22.7,9.8,5.1,9.0,2.6,4.3,4.6
2018m11,6.1,188.5,12.0,6.5,11.8,2.4,4.8,5.2
2018m12,2.6,225.9,12.4,7.4,4.6,2.5,4.4,4.7
2019m1,3.5,-31.3,-5.6,5.4,0.9,2.5,3.9,1.6
