industry,vintage,tp_1997q1,tp_1997q2,tp_1997q3,tp_1997q4,tp_1997,tp_1998q1,tp_1998q2,tp_1998q3,tp_1998q4,tp_1998,tp_1999q1,tp_1999q2
agriculture,1999m9,17.0,4.3,-4.8,6.4,4.9,4.3,-1.9,2.1,15.5,3.6,10.6,14.0
fishing,1999m9,-11.7,25.0,7.8,-55.9,-12.1,-61.9,-66.8,3.7,55.6,-35.6,113.2,128.4
mining,1999m9,4.7,7.3,6.3,4.9,5.8,3.4,-1.5,7.0,9.6,4.7,13.5,14.6
manufacturing,1999m9,2.9,12.3,7.6,3.7,6.6,1.7,-9.1,2.3,-5.4,-2.8,2.3,6.9
construction,1999m9,13.2,20.8,22.9,23.7,20.4,9.2,2.5,7.0,-11.1,1.3,-12.9,-19.4
commerce,1999m9,4.8,8.8,7.5,7.4,7.2,2.2,-1.0,-2.8,-7.3,-2.2,-7.4,-1.8
services,1999m9,4.0,6.1,5.9,5.0,5.3,3.2,1.3,1.8,0.2,1.6,-0.2,1.2
gdp,1999m9,5.9,8.8,6.7,6.0,6.9,2.8,-2.9,2.4,-0.6,0.3,1.1,4.2
