industry,vintage,tp_1996q1,tp_1996q2,tp_1996q3,tp_1996q4,tp_1996,tp_1997q1,tp_1997q2,tp_1997q3,tp_1997q4,tp_1997,tp_1998q1,tp_1998q2,tp_1998q3,tp_1998q4,tp_1998
agriculture,1999m3,1.2,7.8,3.9,8.1,5.5,17.1,4.2,-3.9,6.5,4.9,4.5,-2.1,2.1,15.4,3.6
fishing,1999m3,-19.0,1.2,-13.6,23.5,-0.7,-11.8,24.9,7.6,-55.9,-12.2,-63.5,-64.2,0.6,52.3,-35.7
mining,1999m3,1.4,2.7,3.2,4.2,2.9,4.6,7.3,6.3,4.9,5.8,3.5,-1.4,7.1,9.8,4.8
manufacturing,1999m3,0.9,1.4,2.0,5.7,2.5,2.9,12.2,7.6,3.7,6.6,1.2,-10.3,2.0,-4.1,-3.0
construction,1999m3,-2.2,-12.5,-6.3,2.7,-4.5,9.0,17.1,23.5,25.0,18.9,8.6,7.5,7.7,-11.2,2.3
commerce,1999m3,-0.1,4.2,2.5,4.2,2.7,4.9,8.9,7.6,7.5,7.3,2.2,-1.2,-0.2,-5.9,-1.3
services,1999m3,1.1,4.0,3.6,4.0,3.2,4.4,7.3,7.1,6.3,6.3,3.2,2.2,2.8,0.2,2.1
gdp,1999m3,0.3,2.5,2.1,4.9,2.5,5.7,9.0,7.2,6.6,7.2,2.7,-2.5,3.1,-0.1,0.7
