industry,vintage,tp_1994m11,tp_1994m12,tp_1995m1,tp_1995m2,tp_1995m3,tp_1995m4,tp_1995m5,tp_1995m6,tp_1995m7,tp_1995m8,tp_1995m9,tp_1995m10,tp_1995m11,tp_1995m12,tp_1996m1,tp_1996m2,tp_1996m3,tp_1996m4
agriculture,1996m6,6.2,8.7,12.7,10.0,9.4,11.2,15.2,-1.0,8.6,8.8,10.6,4.9,0.1,3.6,-3.6,0.2,2.3,7.2
fishing,1996m6,36.0,-8.4,48.4,32.0,-56.5,-15.7,-10.8,-14.0,-41.4,-2.1,0.1,-20.3,-27.0,-23.6,-33.8,18.7,-34.2,-4.8
mining,1996m6,2.2,2.1,1.5,6.4,6.4,4.5,-2.9,1.5,2.2,5.9,3.1,3.4,4.4,1.7,-0.4,1.6,0.0,2.3
manufacturing,1996m6,21.9,13.1,18.2,16.1,-0.3,2.6,10.4,4.9,3.0,5.6,2.6,2.8,-3.0,-3.9,-3.7,9.0,-1.6,0.3
construction,1996m6,44.3,36.2,32.3,37.0,27.3,26.3,42.9,25.5,20.3,15.7,3.1,7.2,2.6,-5.3,-2.1,-2.8,-7.6,-9.6
commerce,1996m6,18.9,17.7,26.3,22.3,15.1,10.5,16.9,20.5,17.2,12.3,6.6,8.1,2.6,-1.3,-2.8,2.2,-2.6,5.7
gdp,1996m6,15.4,11.3,16.5,15.2,6.8,7.3,12.0,6.9,7.4,7.9,4.3,4.2,0.1,-1.7,-2.6,3.6,-1.7,1.9
