industry,vintage,tp_1994m9,tp_1994m10,tp_1994m11,tp_1994m12,tp_1995m1,tp_1995m2,tp_1995m3,tp_1995m4,tp_1995m5,tp_1995m6,tp_1995m7,tp_1995m8,tp_1995m9,tp_1995m10,tp_1995m11,tp_1995m12,tp_1996m1,tp_1996m2
agriculture,1996m4,2.3,7.0,6.6,9.3,12.7,10.0,9.3,11.0,15.0,-0.8,8.3,8.6,10.3,5.1,0.1,0.6,-3.6,0.3
fishing,1996m4,7.3,54.7,36.0,-8.4,48.4,32.0,-56.5,-15.7,-10.8,-14.0,-41.4,-2.1,0.1,-20.3,-27.0,-23.6,-33.8,18.7
mining,1996m4,-1.7,1.2,1.6,-1.0,4.3,5.1,7.0,4.6,-1.9,1.2,-2.1,1.9,3.3,2.1,5.2,1.1,-0.6,0.8
manufacturing,1996m4,18.1,22.6,21.9,13.1,18.2,16.1,-0.3,2.6,10.4,4.9,3.0,5.6,2.6,2.8,-3.0,-3.9,-6.4,3.6
construction,1996m4,42.6,51.7,44.3,36.2,32.3,37.0,27.3,26.3,42.9,25.5,20.3,15.7,3.1,7.2,2.6,-5.3,-2.1,-2.8
commerce,1996m4,16.1,20.9,19.0,17.6,26.3,22.3,15.1,10.5,16.9,20.5,17.2,12.3,6.6,8.1,2.6,-1.3,-2.8,0.0
gdp,1996m4,11.6,16.0,15.3,10.7,17.3,15.2,7.0,7.2,12.3,6.9,6.7,7.3,4.2,4.0,0.1,-1.9,-3.7,1.2
