industry,vintage,tp_1995m8,tp_1995m9,tp_1995m10,tp_1995m11,tp_1995m12,tp_1996m1,tp_1996m2,tp_1996m3,tp_1996m4,tp_1996m5,tp_1996m6,tp_1996m7,tp_1996m8,tp_1996m9,tp_1996m10
agriculture,1996m12,7.4,10.6,5.0,-0.1,3.5,-2.3,0.6,3.5,7.2,2.3,14.5,0.8,9.9,3.3,4.7
fishing,1996m12,-2.1,0.1,-20.3,-27.0,-23.6,-31.2,30.3,-33.9,-3.8,13.7,14.9,17.5,-7.6,-11.1,-52.3
mining,1996m12,5.9,3.1,3.4,4.4,1.7,0.1,4.6,2.6,3.1,4.1,3.4,4.9,4.5,1.4,4.9
manufacturing,1996m12,5.6,2.6,2.8,-3.0,-3.9,-3.7,9.0,-1.6,0.4,2.9,2.2,7.4,-0.2,0.3,-3.9
construction,1996m12,15.7,3.1,7.2,2.6,-5.3,-2.1,-2.8,-7.6,-9.6,-9.8,-12.0,-0.4,-6.7,-5.6,-3.7
commerce,1996m12,12.3,6.6,8.1,2.6,-1.3,-2.1,3.5,-2.3,5.2,6.2,1.9,6.2,-1.5,-0.6,0.9
gdp,1996m12,7.7,4.3,4.2,0.1,-1.7,-2.2,4.4,-1.1,1.8,2.3,4.3,5.1,1.5,0.4,-0.8
