industry,vintage,tp_2000q1,tp_2000q2,tp_2000q3,tp_2000q4,tp_2000,tp_2001q1,tp_2001q2,tp_2001q3,tp_2001q4,tp_2001,tp_2002q1,tp_2002q2,tp_2002q3,tp_2002q4,tp_2002
agriculture,2003m3,4.6,7.4,6.8,5.5,6.2,1.0,-1.9,2.0,2.0,0.5,6.2,7.2,3.1,6.2,5.8
fishing,2003m3,27.5,16.1,21.9,-13.9,9.1,-6.6,1.1,-18.9,-29.7,-10.5,-21.1,7.8,7.8,26.1,3.1
mining,2003m3,4.1,1.8,2.0,1.7,2.4,-3.5,3.3,22.9,26.2,12.4,25.6,18.6,3.6,2.1,11.2
manufacturing,2003m3,13.1,9.5,7.0,-1.6,6.7,-2.6,1.0,-0.6,-1.1,-0.8,-0.8,4.4,5.6,7.3,4.2
construction,2003m3,5.6,-2.1,-2.9,-15.8,-4.3,-15.7,-6.4,-8.5,5.9,-6.4,10.4,8.0,11.4,4.0,8.3
commerce,2003m3,7.4,7.3,4.4,1.3,5.1,1.5,-1.2,3.7,3.0,1.6,0.3,6.6,3.4,4.4,3.8
services,2003m3,2.6,4.3,1.7,-1.0,1.8,-2.7,-1.1,0.9,4.0,0.3,1.2,6.0,6.4,5.8,4.9
gdp,2003m3,5.3,5.4,3.1,-1.2,3.1,-2.5,-0.9,1.8,4.1,0.6,2.8,6.7,5.7,5.6,5.2
